,VGAMpValue,Variance
PROM1,2.62085508628661e-142,13.0830559930672
CYP2S1,8.3697370563562e-137,7.30020754564738
CCDC81,2.76709273484098e-134,12.5940826317112
PKM2,7.69837830814057e-134,2.66194977887298
USP44,1.53311570315824e-133,11.9542105397753
FBN2,2.93919311087011e-133,7.03658734876931
SHOX2,7.97801471438292e-133,7.73969574124731
GLIPR2,6.72583193011077e-132,10.2955985674682
COLEC12,1.25788513055079e-131,11.3726929456728
ENC1,5.20121340426319e-130,10.9384899658889
HAS2,7.11465817282226e-130,10.0979245166142
KLHL6,1.15301853657452e-129,9.19886039477707
WLS,3.05833265112634e-129,8.65310787188733
PLXNA2,5.58370449874362e-129,10.992989161658
SIPA1L2,2.84771923471455e-128,7.80374083927207
GYPE,1.09457697283781e-127,11.6976744907163
POU5F1,6.85340861732829e-127,3.95868312211278
ANGPT2,1.05108813175409e-126,10.1384208478673
CDH1,2.25326713200485e-126,5.61148198703511
IL6ST,2.04135717300643e-125,9.60520189869522
GRIA4,5.81834469190693e-125,2.85451406236779
APLNR,1.86821490569047e-122,12.4554575582379
CNTNAP2,6.80610620610819e-122,5.16107208885706
PMAIP1,1.08342339821428e-120,12.5046969001731
EPCAM,8.1365122595066e-120,12.8514971107406
POU2AF1,1.11256007134056e-119,4.14964398701795
NFKBIA,5.24398495965081e-118,7.15483594477309
GATA4,1.0284186279163e-116,8.65518376823707
CHL1,1.29999673038303e-116,11.2187142303514
PCDH10,6.72562012330757e-116,8.0992106223282
ACOX3,1.55964685495772e-114,10.905540934634
ZSCAN10,4.92233991830541e-114,3.67466055754089
TMSB10,1.59389480602742e-113,1.1526729981003
BMP2,4.32544662349633e-113,10.804778778438
FREM1,7.9952771982346e-113,12.2404260895732
FGFBP3,3.76632942335851e-112,4.60636462599947
ST8SIA1,1.16388058987526e-111,10.0988508062148
CDH3,7.14287944920294e-108,5.59312698754344
PRDM1,1.03109328340289e-107,13.2083915180382
GNG11,2.12570517623977e-107,15.6766350320292
LRAT,1.06061587126877e-106,7.79671107397504
IFI16,4.25772834816932e-106,14.3596851899299
GPR160,6.39872558699373e-106,5.51502432590248
ITGA6,1.42032166004566e-104,8.84635434793662
ADAM19,2.15391373162323e-104,5.95785844355785
BMP4,4.13727624288927e-104,11.5492617994138
ADD2,7.33497773183085e-104,7.14843384881303
PDGFA,1.5223993646592e-102,7.80816809194556
ELMO1,2.33488434893404e-102,7.85361883661582
ALPK2,1.1622289228275e-101,10.1340758459179
CLDN6,2.38773282670663e-101,6.16733810188086
DNAJC15,1.06446035256714e-100,3.45619762473575
APOBEC3F,4.08467342492618e-100,5.18413615652915
RBM47,4.67108802649903e-100,7.38263663947523
TNC,1.34360197335797e-99,8.24499435631092
SHANK2,2.85220002558794e-99,3.71729746473555
DKK4,4.84105253034122e-98,18.3679210489075
PIM2,6.07227314475875e-98,7.50943442919211
KLF8,9.55848719168756e-98,8.28856170783188
TOX,3.55441161403192e-97,3.10024674457358
SLCO2A1,3.61672962889447e-97,8.49897070648336
SERPINB9,1.22164545214634e-95,5.55687721395591
BNC2,1.71565024588073e-95,5.7736650778493
COL6A1,2.53707304752425e-95,4.05995610508644
BHLHE40,3.19915306724391e-94,8.01754309365495
HS3ST3A1,4.37133355875319e-94,6.61072731235511
DUSP4,1.20277485287411e-93,9.87345519699702
NPM1,1.55704916418081e-93,0.539117906365809
ABCC9,1.67809342220895e-93,5.15771371724121
CAMKV,1.36185736507664e-92,3.10697032574028
GLDC,4.76324122606198e-92,9.2007684763776
CFLAR,2.50447920787262e-91,2.41270481406126
SCG3,7.8186869223872e-91,7.1780268850689
MCF2L2,5.1528968689157e-90,5.85284056096188
DPPA4,3.32168146080524e-89,4.70757774348834
LCK,2.24041168812636e-88,3.58506546036203
NCAM1,2.67904414443683e-88,8.74222708628109
PIK3R5,8.07970335567391e-88,14.4893519653248
APOBEC3D,1.0884458514803e-87,4.56486054319575
DCLK1,2.27963294038637e-87,8.23446766978261
NFE2L3,2.55284539481202e-87,7.72083712271837
VASH2,4.79112036416801e-87,9.93270443884023
FAM115A,6.78021193897476e-86,6.55209923635706
CD24,8.48032143158057e-86,4.86464557035916
SYT6,1.36443303384752e-85,3.45102632168293
SH3PXD2A,1.52724880311368e-85,7.56052868688151
MYOCD,1.56871398780734e-85,9.6240981458725
LAPTM4B,3.55796375062434e-85,1.4409001024737
ZNF165,7.98121839342081e-85,6.23536913683511
PHC1,8.78410766651589e-85,8.46087901828332
DSCAM,1.41128870309214e-84,6.5653218329385
FAM89A,2.48677773490239e-84,8.56816042876824
MAP1B,3.06501997648909e-84,3.9297625626834
ROR2,7.32581279563222e-83,8.5494228079038
PCDH7,1.6742527079478e-82,10.2194160716336
POU3F1,6.07594825388585e-82,1.1615313238907
CD9,6.45626864714203e-81,10.824798270271
HOOK1,2.95494444072818e-80,6.83982770195275
FEZ1,5.02650970557455e-80,8.59073782006613
FBLN1,8.96827229230315e-80,3.64405033169902
CDH11,5.10568381056547e-79,13.9168149724675
TERF1,5.64206357864396e-79,4.05344649662495
PMEL,8.16010444812238e-79,5.83802782816432
SPARC,1.48599277764762e-78,2.41748007363669
EPPK1,6.66668993466491e-78,2.2365648613842
LPGAT1,1.05670291482389e-77,9.38927679022068
TRDN,1.68524618933341e-77,10.6727221926007
RFPL2,2.86799339367326e-77,11.3308636447129
LGR5,5.38025623288327e-77,8.96230616806415
IRX3,5.50359039481323e-77,3.9447681374691
FGF17,5.76249947419375e-77,7.33816238364279
CDK6,6.36315798623166e-77,9.89183799164222
MYOF,4.00093761814887e-76,7.73803421552575
PPAP2C,4.07235343209256e-76,4.31894538897171
CD48,4.39349676080956e-76,15.7266687193632
POU5F1B,6.2831729586771e-76,1.34882118305533
IMPAD1,8.21812507771327e-76,6.90596742167124
HOOK3,3.46364377776914e-75,3.8200937053408
H1F0,4.53670782404386e-75,5.55149046519222
C9orf135,7.72492523683355e-75,5.48095495252512
CLU,1.13512498939698e-74,6.55565677857999
ZCCHC11,4.05394472127614e-74,7.92006274909861
HESX1,4.9839981781314e-74,3.57921329332866
SEMA6A,6.84331892181703e-73,8.28067599493671
AK4,1.41967102956848e-72,11.2435564308744
PLSCR1,1.55433298195691e-72,5.40416888667909
NLGN4X,1.96720008701042e-72,9.0988180606681
LUM,2.71459220531329e-72,16.743391236009
SERINC5,8.27132833702254e-72,5.37176569636515
MYADM,9.5618187905847e-72,3.02277944419123
PTMA,1.50332093317876e-71,0.645798356948459
MT1X,2.57316412604836e-71,6.38436386009347
GRID2,2.748500594451e-71,1.28036218058189
FGF2,5.04387600601462e-71,6.22557550011899
BMPER,9.53691530329146e-71,13.2409167173417
IER3,2.02394317145192e-70,4.71103335329805
OXTR,2.07447047162412e-70,9.83020724943202
SMPDL3B,3.08455640544449e-70,3.73405122707163
HSP90B1,3.34909175016281e-70,0.820013805139067
WBP5,5.93380101889878e-70,1.35561495815974
FST,7.52371764032857e-70,7.7778496984318
AMIGO2,1.30107522427778e-69,10.1413559478841
CA2,3.13549635703411e-69,10.3289443692798
GYPA,4.18284339517136e-69,9.76328098674558
S100A11,8.62706298568208e-69,1.15634913050609
ARSE,9.54484630871851e-69,7.09352976404843
SPINT1,2.24391346019355e-68,5.22515130426686
FAM114A1,3.25851163208779e-68,5.22138082934898
TMOD1,1.01933993669071e-67,9.49067677640096
FAM46B,1.81263959009769e-67,2.02522914578332
EPHA2,2.50598000774813e-67,6.55405404315794
COL4A1,3.13546641060742e-67,10.3628699919778
DCAF6,6.63924036683779e-67,9.10061291338814
S1PR3,9.41387711201207e-67,9.67511862874914
RASL11B,1.6165159610697e-66,5.96846018130588
CRIP1,2.60281964257087e-66,5.12278833787097
ITPRIPL2,2.75086021489435e-66,4.77373522075926
CKMT1A,3.69986205670691e-66,3.46037708504518
RDX,3.77742250916606e-66,2.75490487499116
MSX1,4.341240369893e-66,6.28061651884411
MYCN,7.03966838859079e-66,6.1769789818249
TUBA4A,8.62647173723351e-66,6.79379315577941
GYLTL1B,1.18656457143359e-65,2.36148351976389
C1orf61,2.03299163204125e-65,5.6944191136025
SLC7A8,2.32727370139487e-65,7.70995784269617
RARRES2,2.62256179143578e-65,5.06146540096056
FLRT3,3.03855095117261e-65,10.2834386117071
LPIN1,3.3933482827808e-65,9.889708041014
PLOD2,1.21169052136566e-64,10.1967606396986
CPE,4.00750967680724e-64,11.0840474072876
NKAIN1,4.32470940775368e-64,4.27871599950391
MAN1A1,5.57280024637894e-64,9.90920598240284
PCDH1,1.58133134911873e-63,3.2698686761838
SERINC3,1.93850692515859e-63,6.97830026916469
SIX6,2.94249541156208e-63,1.26652994275235
GPR83,6.96761805042299e-63,12.754871537308
ZEB2,7.64524305009768e-63,9.29346799285382
ASTN2,1.61182900466478e-62,2.09835903816957
HSPE1,1.7782308123012e-62,1.21044992733956
B4GALT4,1.9440472237017e-62,12.3464279761605
ALPL,2.68837570004004e-62,5.87855229338892
COL13A1,3.4550768442216e-62,5.49891948929294
OTX2,3.75650708285569e-62,10.7942357717488
DAB1,5.26227474738693e-62,6.25147917950223
PITX2,6.00141795094263e-62,7.89115114668862
MAP7,7.98426407904266e-62,6.23706087322744
LRRC2,2.09525598931017e-61,5.49766903652951
ZAP70,2.39190361181155e-61,6.22719135991295
UNC5C,2.97714368970785e-61,8.41265724966047
JUND,3.09830497280087e-61,2.90150292092429
PMP22,3.71305396974834e-61,10.2766232270588
ZNF521,3.78042375825309e-61,9.32717094526711
GALNT3,3.80159293296024e-61,3.17097746124132
DNMT3B,4.04361809329233e-61,5.8204703871506
GABRB2,4.31531427043654e-61,12.2062410506857
GPC3,4.35254046575437e-61,8.57186441882559
HSPA8,4.45228620973877e-61,0.928999403326176
SLC5A4,1.27550451754819e-60,3.50887704769773
TMEM212,1.38464022604195e-60,2.80217251731199
PPAPDC1A,2.02851165122068e-60,7.8757415034111
HOXB3,2.04622525728801e-60,7.64840610894024
RAX2,2.54031050869913e-60,2.52495673724481
RNF144B,4.6809874980667e-60,3.11978884939162
CD99,4.70616530178983e-60,4.82331648416711
PREX1,8.11432038100569e-60,6.88587929290108
MAMLD1,8.18030479734444e-60,8.31291953686459
FBN1,8.49989633838561e-60,9.26184833796276
CYFIP2,2.18796267091167e-59,6.07550183769917
TTC39B,2.19725393337188e-59,9.27007511856228
CD63,2.23970794264796e-59,0.987193615600811
MT1G,3.23115199127581e-59,3.0596427364179
PENK,4.16556519280597e-59,11.9484145078228
FN1,5.08596417245935e-59,8.24081088321839
WIPF3,1.35772290352086e-58,4.39523175434047
ADM,2.20071976425483e-58,5.0781222739986
MCM4,2.96741199331367e-58,4.98205653475222
AHNAK,4.19705907146367e-58,6.44786945821727
LDB2,4.34174856378907e-58,6.19611773548565
FKBP9,5.29432865113798e-58,4.98098205843568
NEFM,7.17711467919906e-58,5.49454662702894
GIPC2,8.31223742948313e-58,1.65152879150173
PAIP2B,3.30750007893313e-57,6.69521554199385
SOX5,4.23371156439911e-57,6.26795862787264
GSTO1,6.11050568160524e-57,2.50492591109199
LMO3,1.16925767995103e-56,3.6429328977051
CLDN10,1.35986574173261e-56,7.75155318035903
SLC6A15,1.84717036591397e-56,10.3193258047429
SEPHS1,2.00043374529145e-56,6.29610806177318
NOP16,3.25126587355721e-56,7.25312870888992
STMN3,3.79419471153781e-56,2.85120954550768
FGD6,4.34605655472866e-56,7.18316519092367
MFGE8,4.59999388128845e-56,4.52428624725493
MAB21L3,5.01358088168674e-56,2.22276056678277
ANXA2,9.04235938406745e-56,5.84861148401884
MAGI3,1.47784061565504e-55,9.81637868745315
AIF1L,1.69324954285299e-55,6.80581866100323
PPFIBP1,2.79233926042488e-55,5.15510054296768
CAP2,3.71915100280787e-55,8.76473282569903
PDLIM3,4.04210230265647e-55,10.0102313093271
BNIP3,4.35375664911394e-55,9.03192064162972
FEZF1,4.51606143527111e-55,0.957208881386975
ELOVL2,6.20641019989223e-55,8.82208308965606
KLF6,6.61303522912188e-55,6.60163768229899
CAMK2D,7.76189246595649e-55,12.040897014432
MOB3B,9.85181131870965e-55,7.20432511005612
SULF2,1.02915780612347e-54,8.07158155725422
TDRD7,1.12452709592189e-54,10.22844712177
ERCC-00113,1.274218358209e-54,14.3558348902273
GBP5,2.16332820137246e-54,2.1189272584789
NUP210,2.22526078658536e-54,4.81286389744807
HAS3,2.66468640754327e-54,3.65415143617806
SET,2.98294536023155e-54,0.665187943862454
MT-ND6,3.04398735753037e-54,2.71931502681819
HTRA1,3.9725745960484e-54,9.09167565195322
MRC2,4.25727328406422e-54,2.98927837220678
JAKMIP1,4.37502192414873e-54,5.24469531803248
KAT7,4.57364383815201e-54,9.10136813142631
ITGB1BP3,5.29649920117365e-54,2.46666674629027
ZIC5,7.24643077208503e-54,5.29498481005704
GBP4,1.09152937966382e-53,1.8061256248652
MCM5,1.38307831323032e-53,7.6667538470692
COL27A1,1.5879904204114e-53,4.64263390112182
BCAR3,2.08038796589563e-53,7.9997160911404
ODF2L,2.24618046009585e-53,2.40867096363485
FOXD3,2.65026782681702e-53,0.546655476655248
APOBEC3C,2.89499336010444e-53,8.26423590046955
BAG3,4.24178362015701e-53,9.3714139653266
ERVMER34-1,5.08173171899491e-53,3.70085408572576
AGL,5.15246150201796e-53,9.43715649836457
RRBP1,5.16615239892283e-53,3.84016548814633
SEL1L3,7.24480826310314e-53,5.58479623888729
PLP1,7.84441949661056e-53,8.70071259783024
LRIG3,1.02327151115523e-52,8.86492298899526
CITED2,1.0319559167451e-52,2.92214829171271
BMPR2,2.75078543780399e-52,5.94204736338322
HMGB1,3.32618490444074e-52,0.566095532821478
PEBP1,3.82587457163193e-52,1.34847190367828
ANXA3,3.88808368219219e-52,8.55552897966955
KIAA1456,6.31594344547177e-52,3.18194488937401
SBK1,1.25787696524175e-51,4.19345800669311
VAMP8,1.3004101308072e-51,5.05690506113379
STOX2,1.4517420483477e-51,5.05760125299774
ZEB1,1.82278355522652e-51,9.74026596550836
CLDN11,1.94151973285885e-51,10.7877916135756
ADCY10,2.6872291673455e-51,4.48920812025851
GCNT1,4.00472742909968e-51,7.65249836458194
REXO1L1,4.32179076079643e-51,2.23120555869091
C1orf172,4.5396977804336e-51,2.13318151301233
MCCC1,6.23694334040794e-51,10.3541459764653
PHLDA1,7.27331493299668e-51,10.2998702956717
CALB1,7.76988369868582e-51,11.182916701381
SLC29A1,1.06385945019535e-50,7.65936761166731
CKMT1B,1.10887945953663e-50,3.03483898833078
DPYSL3,1.49931941835905e-50,8.21255196797625
TRERF1,1.67495550276286e-50,3.04780747778476
ANXA6,1.82456452540114e-50,5.96472215932536
VAMP5,2.67397372078955e-50,5.36986183204889
SLC35A3,2.70282046706654e-50,8.51554659516113
SPG20,2.94690165688112e-50,6.66204241846067
TMEM30B,4.92249519182375e-50,2.07240146576439
OPTN,4.92482054181221e-50,6.73680056039844
C5orf62,5.14491187873198e-50,6.24798164591484
SNURF,5.27606529536514e-50,1.61739804552534
PSMB8,8.20364255347593e-50,2.12536484480145
ZFHX2,1.16869103989553e-49,4.1417858244333
PGR,1.18563239520068e-49,1.55207565464905
ALCAM,1.48352492981482e-49,8.83077031906804
COMT,1.84511519054097e-49,2.66223940263327
UNG,1.94643805370941e-49,6.92990124779753
CRHBP,2.31370533487e-49,14.6410347396242
FBXO34,2.36730458152698e-49,8.0215671686671
QPCT,3.25363494067078e-49,10.581897042457
SEMA3E,3.52180436185019e-49,10.0618656037222
CHGA,3.57906054679069e-49,1.58801447162465
ATXN7L1,3.92704018310381e-49,4.52740535881671
MT-ND4L,5.25441573130251e-49,1.91314624423769
NPC2,7.16864941139691e-49,2.87385575310763
KIF1A,7.53959756239956e-49,6.30624240063134
ID1,8.31788803537525e-49,7.16365925843275
C12orf45,8.77272675121778e-49,5.92040568062178
LOC100130451,1.24088744256503e-48,3.02491059963987
MAT2A,1.35950812385983e-48,5.85528562420084
PLAU,1.80008569617051e-48,9.67106087446927
LIPG,1.9104757855e-48,8.95074626767827
SLFN5,2.26466969711837e-48,6.57213845754931
WNT5A,3.23829767955165e-48,16.3968897160275
TTC3,3.80980189113153e-48,4.59745219435022
ERCC-00130,4.15202091755266e-48,13.4950114191773
S100Z,4.55175226322585e-48,4.34285576195138
HTRA4,6.06707884872205e-48,2.77064388578323
MT-ND3,6.90503185091436e-48,2.31619097504457
C1QTNF6,8.16763318887979e-48,2.81634619880233
SEMA5A,8.47432155410558e-48,8.8763677515359
CGNL1,1.22479169284543e-47,6.26661230703935
MCM3,1.51459965776808e-47,4.60494878746644
P4HA1,1.61803885887297e-47,6.88102288009087
MT1F,2.55300965291468e-47,2.94875195666092
VWDE,2.55965962613878e-47,2.30393980688196
ZNF516,2.63639759717288e-47,8.52556557101292
ZNF556,3.45474253270946e-47,1.68996464855688
D4S234E,3.50255154294474e-47,2.0219651924246
LIN28A,8.47969146524692e-47,1.26402184785574
ZIC3,9.14700115515018e-47,8.7677542887187
ERCC-00046,9.53377307836129e-47,15.0125099538942
SLC16A9,1.01723131906008e-46,4.22418801438139
ARHGAP8,1.09602588352624e-46,2.93360699499486
ZFPM2,2.10469198448962e-46,7.53652952126825
ZFP42,2.36839528700225e-46,3.90088330217927
DYNC1I1,2.41327604832024e-46,7.73277797297192
FLNC,2.41553972236134e-46,5.83019884646011
ERCC-00004,2.48366588814481e-46,14.0911082625952
XAF1,3.75739728561006e-46,2.88337113409375
PVRL1,6.2528770331483e-46,4.35963809768107
MCM2,6.48761927686767e-46,8.27025293776195
B3GNT5,6.75054212449133e-46,10.6669624178351
GADD45A,7.01697941906543e-46,5.4344539984312
CD200,7.6792076445106e-46,8.85830310037378
HAND1,8.34355613776294e-46,8.48280733294007
HOXB6,1.34915384361486e-45,4.48424281443326
ARRB1,1.39281031237129e-45,6.43640785100578
PLAGL1,1.63789221172492e-45,8.24755429991023
HLA-DRB1,2.07658710628622e-45,10.437715129499
ERCC-00096,2.13067676903092e-45,14.5814429616222
RAB17,2.72300194956013e-45,2.06531785861971
PDE4D,3.07478195993505e-45,7.0793116254985
PLA2G4C,7.9037899185694e-45,1.09242122114619
MBOAT1,8.93912244211148e-45,9.13043152939221
FAM126B,9.15979223836126e-45,6.31480758346196
FRMD8,1.49995942812137e-44,4.5928673609591
LINGO1,1.73519523501726e-44,1.50738759564229
B3GNT7,2.12125696252887e-44,4.43213120198021
DKK1,4.00867280788128e-44,15.0588297742321
APLP2,4.0088229033093e-44,1.80317633048867
SLC46A3,4.0283195523676e-44,8.63158864558917
CXCR7,4.78549728383097e-44,6.44091171345701
GPR111,5.44775167282196e-44,5.75668986726848
KIAA1462,5.95932596605774e-44,6.65334374469771
ANKDD1A,6.25821184063564e-44,4.58121362968897
COBLL1,6.39773549486954e-44,11.2421707424351
FOXF1,9.70493083991707e-44,7.47256242989407
FZD7,1.29165834292546e-43,6.21349278293351
MT-ND4,1.29368685535892e-43,1.69316328811213
RAP1GAP2,1.33492815853416e-43,2.04091416808836
SERPINB6,1.36546276624306e-43,6.99590398035786
ASNS,1.59919338310185e-43,10.8397232176904
ANKRD18B,1.68074812376257e-43,6.75389504284523
HSPD1,1.71164758832422e-43,0.762826721558552
C12orf23,2.20804516393832e-43,11.4658617373369
ERCC-00002,2.53988907757571e-43,13.4114522570129
PLSCR4,2.97789817269534e-43,7.7989109346329
SCD5,2.98790988277768e-43,2.33156422166577
UPP2,3.37939717677546e-43,1.55396502338213
RYR1,3.54590949623494e-43,0.790543021038282
PSIP1,3.65586288729795e-43,3.82351307034414
ERCC-00171,4.17498419222538e-43,11.0726722978306
PLCE1,4.27769608496449e-43,6.94398047407576
THY1,4.31373356633806e-43,8.02346381286183
TFPI,4.52916655435577e-43,14.4231753348904
CHRDL1,5.94210538196267e-43,2.56744370866913
OVCH2,7.67046709774616e-43,4.6245823467616
METTL19,1.0416476025765e-42,6.81119478026349
SLC2A1,1.19176038858568e-42,7.31828092511916
ACOXL,1.40114408433165e-42,0.733107162329008
TPD52,1.50974763637089e-42,8.20171412418072
SPINLW1,1.54520771249826e-42,3.31044496108624
ATP1A2,1.67022044915405e-42,3.75499005994519
MEPE,1.71797355750899e-42,8.36584985408573
MEIS2,1.95161742023764e-42,6.36460639711614
GLIPR1L1,2.28583498488878e-42,4.4188429051532
SAA2,2.78035301390953e-42,3.02152526184239
TJP2,3.15685111417806e-42,7.96020708335346
ST14,3.39748158108376e-42,1.6676601678969
SAMD3,3.67444668526397e-42,7.7555199257856
SEMA4D,3.75233950218193e-42,4.60728673309189
RAB3B,4.29575843716143e-42,4.3111713816114
MAD2L2,4.64384561483685e-42,5.96812215115576
KIAA1244,5.69243950276914e-42,3.76227576073824
RHAG,6.74739685450128e-42,10.0886092556817
DUSP10,7.00143275849798e-42,8.42681050482411
LAD1,7.27753535472927e-42,2.0000990258463
MT-ND5,1.04352285218797e-41,1.97297572664748
MED12L,1.13364582129886e-41,7.53727656649223
CTTNBP2,1.40625320477535e-41,3.74761853532785
TIMP3,1.45766511998995e-41,8.25977377231751
RNF213,1.5888495239542e-41,3.17361515122176
MRPL22,1.61720025863037e-41,3.06199500987203
CCDC129,1.72956035150805e-41,2.31625287609275
CLSTN2,2.58418141574871e-41,6.53458562005188
TP53I11,2.9930641659664e-41,5.42384845285079
EPHA4,3.50501904979962e-41,9.50207919967328
TOMM7,3.52862100940389e-41,2.30970137541664
NTS,3.5820172055402e-41,9.26142987868178
CCDC141,3.75045503497674e-41,8.25337088025654
C1GALT1,3.85026424826506e-41,7.01672161971397
GPR98,5.43701516191248e-41,7.15336531140924
CDC6,5.72608924745734e-41,7.17199910028537
HHLA3,6.621818740264e-41,1.54022570315364
SOX17,8.26196903412347e-41,5.61714092490198
DAD1,9.46515586424352e-41,1.06777233009354
SCG5,9.72176911240778e-41,4.73266300922161
GINS2,1.11649644800013e-40,7.73874909270546
ITGB1,1.20689534604533e-40,1.82975213469054
UBE2L6,1.29743168546141e-40,5.52583066703193
STEAP2,1.70722979321504e-40,5.34382611700478
MGST2,1.86626956667754e-40,6.38888201912826
CCDC167,3.61474683638995e-40,4.9918867129194
TNNI3,3.76578705599386e-40,2.47418986656337
SEMA6D,4.15956768746632e-40,9.94608220889732
BTG2,7.39694433574528e-40,5.98485163268759
UGGT1,9.54680058422379e-40,2.84501541326573
FCAR,1.13923820280594e-39,2.65712451011611
SLC22A23,1.53162717664783e-39,2.60386449900577
SNRPN,1.54417034767899e-39,1.38952141062808
TUBB2B,1.56834223250329e-39,5.07017800701256
NXNL2,1.72135295316043e-39,3.64737398425115
TTN,1.77087806969895e-39,8.1824846292756
MALT1,1.77243003755506e-39,9.24423290605432
RAN,2.0667738994841e-39,0.550418426344008
KRTCAP3,2.44790038117915e-39,3.8706443454607
HOXB7,2.53570610081555e-39,4.63073658360978
DDAH1,2.60480655678061e-39,13.3255921599346
WSCD1,2.97277367709779e-39,2.85687581634452
SNTB1,3.25662995540717e-39,3.29408392852342
TMEM177,3.5141399129294e-39,7.06318411408842
RCC2,4.1684177730772e-39,3.18713909578239
ELK3,4.47729420400465e-39,5.2821865525181
UCHL1,4.64475559073794e-39,4.30464175118939
RBBP4,8.08309891336692e-39,2.23292334108564
RAB25,1.02413042820616e-38,3.99944424303248
IFITM3,1.08996744504177e-38,1.15398923721252
GRTP1,1.11523818763836e-38,4.18567645354839
UGP2,1.26694044761792e-38,5.86947220429317
SCAMP5,1.32127041856642e-38,2.95542611170856
RBM24,1.8064050119968e-38,7.50547274199686
CYP27A1,1.87141733725645e-38,5.44488475012238
CGN,1.96990161659563e-38,3.7306760113895
SYNGR3,2.50279937278961e-38,2.50224888302449
SERINC1,2.68240846488108e-38,4.90489899138779
HMGA1,3.03662602153883e-38,1.17332572785
C8orf31,3.15556685103606e-38,3.51964892224404
MYO5C,3.55280602597881e-38,3.29248980670746
MLLT3,3.86590286169155e-38,9.39063181309684
C20orf203,5.06513600427829e-38,2.32208345284038
CALU,5.09789713251331e-38,1.76544968144878
EGF,5.34402857733336e-38,6.60422880657578
RBPMS2,6.19891102993568e-38,4.63309952153961
NAP1L3,6.75148960436464e-38,8.6090931392875
MAGI1,7.40654397237793e-38,5.37468638511052
NELL2,8.08998552033976e-38,4.10450095821027
HMGN2,9.8716652148761e-38,0.696785056324623
YAF2,1.46860821658141e-37,3.36067321939292
LDHB,1.48558446234429e-37,0.554328302280598
CRABP2,1.53189615826102e-37,5.45077945494532
EHD3,1.56465300096918e-37,7.56625434532662
SVEP1,1.6488295432156e-37,6.71560279927825
ORC4,1.83654167987263e-37,1.90728361301404
BEND3,1.91692130563443e-37,7.62997841794161
SOX4,1.99355798557707e-37,2.79966263554422
PFAS,2.58363594435053e-37,3.32820394247125
RHOC,2.64815777032346e-37,4.60528027998415
KLRD1,2.87511009185671e-37,2.58109431277008
NEDD4L,3.3692568363515e-37,5.50228861426611
IKBIP,3.97881402774218e-37,5.76545603324916
TMEM88,4.2584176277437e-37,3.79801022970639
FGF5,4.67331778418236e-37,2.83698592323216
MT-ATP8,5.06891175233217e-37,1.65291916877844
C1orf115,5.12468313285551e-37,1.58878707126626
FAM136A,5.59991321487471e-37,5.38392093194957
SLITRK2,6.14023262388044e-37,8.07871156529542
RABGAP1L,6.16288278936222e-37,7.01111438952073
DHRS3,7.01792568931876e-37,3.03786112670031
PREX2,7.56179682595945e-37,5.70221346909457
MYL7,9.01805135688236e-37,4.54482329238777
PHGDH,9.49348409557356e-37,5.90707109152626
MRPS26,1.37006244705765e-36,4.87682077172952
NTN1,1.41288150889177e-36,4.65096967280592
HLA-DQB1,2.12421311355612e-36,9.35594478439481
CXADR,2.41788296425925e-36,3.71034487963143
HLA-DRB5,2.44276063375232e-36,7.28630634272307
