Gene1,Gene2
MCM5,CCNA2
MCM5,RFC5
MCM5,ESCO2
MCM5,NUP205
MCM5,EXO1
MCM5,CHEK1
MCM5,RFC4
MCM5,CCNE1
MCM5,CCNB2
MCM5,RPA2
MCM5,CDCA5
MCM5,MCM10
MCM5,GINS1
MCM5,BUB1B
MCM5,PRIM2
MCM5,DSCC1
MCM5,CDC7
MCM5,MCM7
MCM7,MCM5
MCM5,CCNB1
MCM5,GMNN
MCM5,ORC1
MCM5,TYMS
MCM5,AURKB
MCM5,NASP
MCM5,DUT
MCM5,RRM2
MCM5,NCAPH
MCM5,TTK
MCM5,MAD2L1
MCM5,FEN1
MCM5,POLA1
MCM5,KIF23
MCM5,MCM2
MCM2,MCM5
MCM5,UBE2C
MCM5,PLK1
MCM5,PCNA
MCM5,HAT1
MCM5,KIF11
MCM5,KPNA2
MCM5,CHTF18
MCM5,ORC3
MCM5,POLE3
MCM5,POLD1
MCM5,TIPIN
MCM5,CHEK2
MCM5,GINS2
MCM5,CDT1
MCM5,CHAF1A
CHAF1A,MCM5
MCM5,DNMT1
DNMT1,MCM5
MCM5,BIRC5
MCM5,RRM1
MCM5,ALKBH8
MCM5,PRIM1
MCM5,ESPL1
ESPL1,MCM5
MCM5,MCM3
MCM3,MCM5
MCM5,MCM4
MCM4,MCM5
MCM5,HELLS
MCM5,UHRF1
UHRF1,MCM5
MCM5,RFC3
PA2G4,ARSA
ZRANB2,TTLL12
EEF1A1,TTLL12
YBX1,PHF5A
POLR2G,PHF5A
SRSF3,PHF5A
RNPS1,PHF5A
HNRNPK,PHF5A
HNRNPD,PHF5A
POLR2D,PHF5A
ALYREF,PHF5A
SF1,PHF5A
ELAVL2,PHF5A
POLR2H,PHF5A
SNRPB,PHF5A
POLR2I,PHF5A
SRSF2,PHF5A
POLR2F,PHF5A
POLR2K,PHF5A
FUS,PHF5A
SNRPD1,PHF5A
RBMX,PHF5A
SRSF6,PHF5A
SRSF1,PHF5A
POLR2A,PHF5A
SUPT16H,POLR2G
POLR2G,SUPT16H
SUPT16H,EAF2
SUPT16H,HMGB1
SUPT16H,H2AFX
SUPT16H,XRCC6
XRCC6,SUPT16H
SUPT16H,AFF4
AFF4,SUPT16H
SUPT16H,TP53
TP53,SUPT16H
SUPT16H,H2AFZ
SUPT16H,MLLT3
MLLT3,SUPT16H
SUPT16H,POLR2D
POLR2D,SUPT16H
SUPT16H,POLA1
SUPT16H,GTF2H2
GTF2H2,SUPT16H
SUPT16H,WDHD1
SUPT16H,SMARCC1
SMARCC1,SUPT16H
SUPT16H,ACTL6A
SUPT16H,FANCD2
SUPT16H,POLR2H
POLR2H,SUPT16H
SUPT16H,SMARCD1
SMARCD1,SUPT16H
SUPT16H,RUVBL1
RUVBL1,SUPT16H
SUPT16H,POLR2I
POLR2I,SUPT16H
SUPT16H,POLD1
SUPT16H,CHAF1A
CHAF1A,SUPT16H
SUPT16H,POLR2F
POLR2F,SUPT16H
SUPT16H,POLR2K
POLR2K,SUPT16H
SUPT16H,CHEK1
SUPT16H,RPA2
SUPT16H,MCM3
MCM3,SUPT16H
SUPT16H,MCM4
MCM4,SUPT16H
SUPT16H,TCEA1
TCEA1,SUPT16H
SUPT16H,NAP1L1
SUPT16H,POLR2A
POLR2A,SUPT16H
SUPT16H,HMGB3
SOS2,CDC42
SOS2,IL15RA
SOS2,RHOC
SOS2,GRAP2
SOS2,RASGRP3
SOS2,RRAS2
SOS2,GRB2
SOS2,FGFR1
SOS2,PAK3
SOS2,RHOB
SOS2,RAC2
SOS2,PAK1
SOS2,IL15
SOS2,GAB2
APC,PSMA3
WWP1,PSMA3
HIF3A,PSMA3
NFKBIA,PSMA3
NFKBIB,PSMA3
VHL,PSMA3
REL,PSMA3
CTNNB1,PSMA3
EEF1A1,PSMA3
PA2G4,PSMA3
TP53,PSMA3
PSMD9,PSMA3
CCND1,PSMA3
LIMD1,PSMA3
HIF1A,PSMA3
TP53,VRK1
APEX1,YBX1
YBX1,APEX1
APEX1,UNG
APEX1,XRCC5
XRCC5,APEX1
APEX1,POLD4
APEX1,LIG3
APEX1,LIG4
APEX1,POLE4
APEX1,RPA1
APEX1,SET
APEX1,MSH2
APEX1,RFC5
APEX1,EXO1
APEX1,RFC4
APEX1,SHROOM3
APEX1,RPA2
APEX1,NTHL1
APEX1,NME1
APEX1,XRCC6
XRCC6,APEX1
APEX1,TP53
TP53,APEX1
APEX1,FEN1
APEX1,PARP1
PARP1,APEX1
APEX1,SHROOM4
APEX1,ILF2
ILF2,APEX1
APEX1,PCNA
APEX1,POLB
APEX1,POLE3
APEX1,POLD1
APEX1,GAPDH
APEX1,DECR1
APEX1,NPM1
NPM1,APEX1
APEX1,HIF1A
HIF1A,APEX1
APEX1,RFC3
ENO1,PCK2
NFKBIA,PSMB9
NFKBIA,PSMC5
NFKBIA,PRKCB
NFKBIA,SRC
SRC,NFKBIA
NFKBIA,TRAF6
TRAF6,NFKBIA
NFKBIA,FAT1
NFKBIA,PSMB4
NFKBIA,ERC1
NFKBIA,CARD11
NFKBIA,PSMA6
NFKBIA,RAN
NFKBIA,NFKBIB
NFKBIB,NFKBIA
NFKBIA,XPO1
NFKBIA,IL12RB1
NFKBIA,IRAK2
NFKBIA,KLF6
KLF6,NFKBIA
NFKBIA,REL
REL,NFKBIA
NFKBIA,LCK
NFKBIA,MAVS
NFKBIA,ZBP1
NFKBIA,IRAK4
NFKBIA,DDX58
NFKBIA,PSME3
NFKBIA,PSMB2
NFKBIA,PSMF1
NFKBIA,TP53
TP53,NFKBIA
NFKBIA,MT-CO2
NFKBIA,PSMD9
PSMD9,NFKBIA
NFKBIA,MALT1
NFKBIA,PSMD3
NFKBIA,TDP2
NFKBIA,CUL1
NFKBIA,PSMB10
NFKBIA,PSMA5
NFKBIA,PPARA
PPARA,NFKBIA
NFKBIA,ICAM1
NFKBIA,PRKACB
NFKBIA,PSMB8
NFKBIA,PSMA7
NFKBIA,UBE2I
NFKBIA,PSMC1
NFKBIA,TNFSF11
NFKBIA,TRIM25
TRIM25,NFKBIA
NFKBIA,ARRB2
NFKBIA,IL23R
NFKBIA,PAWR
PAWR,NFKBIA
NFKBIA,PIK3R1
MYBL2,TOP2A
MYBL2,CDCA8
MYBL2,NCAPG
MYBL2,RBBP4
RBBP4,MYBL2
MYBL2,CDC20
MYBL2,CCNA2
MYBL2,CCNE1
MYBL2,CCNB2
MYBL2,BUB1B
MYBL2,E2F4
E2F4,MYBL2
MYBL2,CCNB1
MYBL2,AURKB
MYBL2,RRM2
MYBL2,TFDP1
TFDP1,MYBL2
MYBL2,UBE2C
MYBL2,PLK1
MYBL2,CDC25A
MYBL2,CCND1
CCND1,MYBL2
MYBL2,E2F3
E2F3,MYBL2
MYBL2,CDT1
MYBL2,TFAP2A
TFAP2A,MYBL2
MYBL2,BIRC5
MYBL2,ESPL1
ESPL1,MYBL2
MYBL2,RAD54L
MYBL2,NPM1
NPM1,MYBL2
ASB9,UBOX5
WWP1,UBOX5
RNF19A,UBOX5
VHL,UBOX5
ASB4,UBOX5
RNF14,UBOX5
DNMT3B,AHCY
DNMT3A,AHCY
DNMT1,AHCY
PGR,PGRMC1
SMAD2,ATP1B4
WWTR1,ATP1B4
TGFB1,TIMP1
BMP4,TIMP1
EGF,TIMP1
STAT3,TIMP1
TGFB1,MMP2
SRC,MMP2
TP53,MMP2
SMAD2,MMP2
EGF,MMP2
CCND1,MMP2
STAT3,MMP2
ZEB1,MMP2
SNAI2,MMP2
HIF1A,MMP2
STAT3,CCL22
TGFB1,PARD6A
SRC,PARD6A
CTNNB1,PARD6A
CIITA,MEFV
BMP4,SCG3
RUVBL1,OIP5
CENPK,OIP5
RBBP4,OIP5
NPM1,OIP5
MCM4,OIP5
MCM2,OIP5
RAD51,OIP5
SRC,PAG1
EGF,PAG1
TLR4,DECR1
STAT3,DECR1
CCND1,SFRP1
CTNNB1,SFRP1
RBBP4,CHRAC1
NFYB,CHRAC1
KHSRP,EXOSC5
PDCD11,EXOSC5
PSIP1,EXOSC5
PARN,EXOSC5
YBX1,HNRNPL
POLR2G,HNRNPL
SRSF3,HNRNPL
SSB,HNRNPL
NONO,HNRNPL
RNPS1,HNRNPL
HNRNPK,HNRNPL
HNRNPD,HNRNPL
KHSRP,HNRNPL
POLR2D,HNRNPL
ALYREF,HNRNPL
SF1,HNRNPL
ILF2,HNRNPL
ELAVL2,HNRNPL
POLR2H,HNRNPL
SRSF10,HNRNPL
SFPQ,HNRNPL
SNRPB,HNRNPL
POLR2I,HNRNPL
SRSF2,HNRNPL
U2AF1,HNRNPL
POLR2F,HNRNPL
POLR2K,HNRNPL
ILF3,HNRNPL
FUS,HNRNPL
RBM14,HNRNPL
SNRPD1,HNRNPL
RBMX,HNRNPL
SRSF6,HNRNPL
SRSF1,HNRNPL
POLR2A,HNRNPL
ASB9,CKM
AES,TLE1
TLE1,AES
AES,TLE3
TLE3,AES
AES,TLE2
TLE2,AES
AES,HLX
HLX,AES
AES,LEF1
LEF1,AES
AES,RIPPLY1
AES,CTNNB1
CTNNB1,AES
AES,VENTX
AES,CTBP1
CTBP1,AES
POLR1B,FBL
SSB,FBL
POLR1A,FBL
SNRPB,FBL
HNRNPAB,FBL
RUVBL2,FBL
UBTF,FBL
PA2G4,FBL
PDCD11,FBL
ALYREF,FBL
ILF2,FBL
RUVBL1,FBL
POLR1C,FBL
NPM1,FBL
SNRPD1,FBL
POLR2I,POLR3K
POLR2I,PUF60
POLR2I,SNAPC3
SNAPC3,POLR2I
POLR2I,HNRNPM
POLR2I,MEIS1
MEIS1,POLR2I
POLR2I,SF3A3
POLR2I,MAGOH
POLR2I,RARG
RARG,POLR2I
POLR2I,SNRPA
POLR2I,SRRT
POLR2I,YBX1
YBX1,POLR2I
POLR2I,POLR2G
POLR2G,POLR2I
POLR2I,EAF2
POLR2I,POLR1B
POLR1B,POLR2I
POLR2I,CHERP
POLR2I,H2AFX
POLR2I,SRSF3
SRSF3,POLR2I
POLR2I,PRPF19
POLR2I,SF3B4
POLR2I,PPIL6
POLR2I,POU2F1
POU2F1,POLR2I
POLR2I,WDR5
WDR5,POLR2I
POLR2I,AFF4
AFF4,POLR2I
POLR2I,SRSF7
POLR2I,LSM5
POLR2I,TAF8
POLR2I,RNPS1
RNPS1,POLR2I
POLR2I,UPF3B
POLR2I,SKIV2L2
POLR2I,H2AFZ
POLR2I,HOXB3
HOXB3,POLR2I
POLR2I,ESRP1
POLR2I,HNRNPK
HNRNPK,POLR2I
POLR2I,MLLT3
MLLT3,POLR2I
POLR2I,HNRNPD
HNRNPD,POLR2I
POLR2I,FGF2
POLR2I,PPIL1
POLR2I,POLR2D
POLR2D,POLR2I
POLR2I,USP7
POLR2I,NUDT21
POLR2I,CPSF3
POLR2I,NANOG
NANOG,POLR2I
POLR2I,SNRPN
POLR2I,HIST1H2BH
POLR2I,TWISTNB
POLR2I,GTF2H2
GTF2H2,POLR2I
POLR2I,PBX1
PBX1,POLR2I
POLR2I,TAF1L
TAF1L,POLR2I
POLR2I,MED14
MED14,POLR2I
POLR2I,ALYREF
ALYREF,POLR2I
POLR2I,ESRP2
POLR2I,POLD4
POLR2I,SF1
SF1,POLR2I
POLR2I,FANCD2
POLR2I,RAN
POLR2I,LIG3
POLR2I,HSPA8
POLR2I,KDM6A
POLR2I,HNRNPA1
POLR2I,CASC3
POLR2I,PCNA
POLR2I,HNRNPA3
POLR2I,ASH2L
ASH2L,POLR2I
POLR2I,ELAVL2
ELAVL2,POLR2I
POLR2I,POLE4
POLR2I,RPA1
POLR2I,POLR2H
POLR2H,POLR2I
POLR2I,SRSF10
SRSF10,POLR2I
POLR2I,LSM4
POLR2I,POLR2M
POLR2I,SNRPB
SNRPB,POLR2I
POLR2I,HNRNPC
POLR2I,SOX2
SOX2,POLR2I
POLR2I,TRA2B
POLR2I,BCAS2
POLR2I,RBBP4
RBBP4,POLR2I
POLR2I,HNRNPA0
POLR2I,COPS3
POLR2I,POLE3
POLR2I,EIF4A3
POLR2I,PTBP1
POLR2I,LSM6
POLR2I,SRSF2
SRSF2,POLR2I
POLR2I,POLD1
POLR2I,RFC5
POLR2I,NHP2L1
POLR2I,HOXB4
HOXB4,POLR2I
POLR2I,POLR2F
POLR2F,POLR2I
POLR2I,SNRNP200
POLR2I,HNRNPF
POLR2I,HNRNPH1
POLR2I,POLR2K
POLR2K,POLR2I
POLR2I,CHEK1
POLR2I,RFC4
POLR2I,LSM3
POLR2I,HOXB2
HOXB2,POLR2I
POLR2I,ELL2
ELL2,POLR2I
POLR2I,POLK
POLR2I,SNRNP25
POLR2I,RPA2
POLR2I,INTS9
POLR2I,FUS
FUS,POLR2I
POLR2I,POLR1C
POLR1C,POLR2I
POLR2I,NCOA6
NCOA6,POLR2I
POLR2I,SNRPF
POLR2I,POU2F2
POU2F2,POLR2I
POLR2I,SNRPD1
SNRPD1,POLR2I
POLR2I,RBFOX2
RBFOX2,POLR2I
POLR2I,HNRNPU
POLR2I,U2SURP
POLR2I,SNRNP40
POLR2I,TCEA1
TCEA1,POLR2I
POLR2I,EZH2
EZH2,POLR2I
POLR2I,RBMX
RBMX,POLR2I
POLR2I,CWC27
POLR2I,INTS1
POLR2I,RFC3
POLR2I,CPSF7
POLR2I,BUD31
POLR2I,SRSF6
SRSF6,POLR2I
POLR2I,SRSF1
SRSF1,POLR2I
POLR2I,SNAPC4
SNAPC4,POLR2I
POLR2I,POLR2A
POLR2A,POLR2I
POLR2I,DHX15
TGFB1,ZFHX3
ZFHX3,TGFB1
TGFB1,F11R
TGFB1,WWP1
WWP1,TGFB1
TGFB1,SDC1
TGFB1,PLG
TGFB1,FGF2
TGFB1,F5
TGFB1,DAXX
DAXX,TGFB1
TGFB1,SMAD2
SMAD2,TGFB1
TGFB1,NOX4
TGFB1,BAMBI
TGFB1,DYNLRB1
TGFB1,TGFBR1
TGFB1,XPO1
TGFB1,A1BG
TGFB1,CLU
TGFB1,ACVRL1
TGFB1,COL1A1
TGFB1,SMAD6
SMAD6,TGFB1
TGFB1,FGB
TGFB1,NEDD4L
TGFB1,FURIN
TGFB1,FMOD
TGFB1,CTNNB1
CTNNB1,TGFB1
TGFB1,TEX264
TGFB1,VIM
TGFB1,FN1
TGFB1,ZFYVE16
TGFB1,MAGED2
TGFB1,IGF2
TGFB1,VEGFB
TGFB1,BGN
TGFB1,LUM
TGFB1,DAB2
DAB2,TGFB1
TGFB1,IGF1
TGFB1,ITGAV
TGFB1,ITGB1
TGFB1,SERPINE1
TGFB1,CDH1
TGFB1,PROS1
TGFB1,EGF
EGF,TGFB1
TGFB1,OCLN
TGFB1,VWF
TGFB1,XIAP
TGFB1,SDC2
TGFB1,FBN1
TGFB1,STAT3
STAT3,TGFB1
TGFB1,SMAD5
SMAD5,TGFB1
TGFB1,SPARC
TGFB1,LTBP1
TGFB1,PF4
TGFB1,ITGB5
TGFB1,CGN
CRX,ATXN7
CRX,AIPL1
CRX,RAX2
RAX2,CRX
PPARA,SULT2A1
SMARCD3,SULT2A1
NCOA6,SULT2A1
SRC,LAMB1
BMP4,LAMB1
EGF,LAMB1
UBTF,TWISTNB
POLR1B,TWISTNB
POLR1A,TWISTNB
DEK,TWISTNB
PDCD11,TWISTNB
POLR2D,TWISTNB
GTF2H2,TWISTNB
DDX54,TWISTNB
POLR2H,TWISTNB
POLR2F,TWISTNB
POLR2K,TWISTNB
POLR1C,TWISTNB
MYBBP1A,TWISTNB
SRC,CAV2
FUBP1,AIMP2
PARP1,AIMP2
SNAI1,SERPINE1
SMAD2,SERPINE1
WWTR1,SERPINE1
TP53,SERPINE1
EGF,SERPINE1
CRABP2,CYP26A1
POLR1B,DHX33
DDX54,DHX33
TRIM33,DHX33
POLR1B,UTP18
PA2G4,UTP18
POLR1A,UTP18
PDCD11,UTP18
DDX54,UTP18
CEBPZ,UTP18
MYBBP1A,UTP18
PA2G4,RPL19
BTF3,RPL19
RNPS1,RPL19
UPF2,RPL19
SMG6,RPL19
UPF1,RPL19
NR0B1,RPL19
EEF1A1,RPL19
APC,WNT3
BMP4,WNT3
LEF1,WNT3
CTNNB1,WNT3
SRSF3,C1QBP
SSB,C1QBP
SRSF2,C1QBP
PHB2,C1QBP
SRSF6,C1QBP
SRSF1,C1QBP
BMP2,COL1A1
ILF2,ALDOC
ENO1,ALDOC
POLR1B,GAR1
POLR1A,GAR1
SMG6,GAR1
SNRPB,GAR1
CCND1,PSMB9
CCND1,PSMC5
CCND1,APC
APC,CCND1
CCND1,ORC4
CCND1,YBX1
YBX1,CCND1
CCND1,WDR77
CCND1,SRC
SRC,CCND1
CCND1,CDKN2B
CCND1,POU2F1
POU2F1,CCND1
CCND1,RUNX1
RUNX1,CCND1
CCND1,PSMB4
CCND1,H2AFZ
CCND1,CCNC
CCND1,FGF2
CCND1,ANXA5
CCND1,BCL2L1
CCND1,PTK2
CCND1,PSMA6
CCND1,ACTL6A
CCND1,BCCIP
CCND1,GATA3
GATA3,CCND1
CCND1,SMARCD3
SMARCD3,CCND1
CCND1,MAML3
MAML3,CCND1
CCND1,MAMLD1
CCND1,CCNA2
CCND1,FGFR1
CCND1,WNT5A
CCND1,CCNE1
CCND1,CTNNB1
CTNNB1,CCND1
CCND1,EGR1
EGR1,CCND1
CCND1,MCM10
CCND1,E2F4
E2F4,CCND1
CCND1,ERBB3
CCND1,CTBP1
CTBP1,CCND1
CCND1,CKS1B
CCND1,MCM7
MCM7,CCND1
CCND1,CDKN3
CCND1,GADD45A
CCND1,IGF2
CCND1,CCNB1
CCND1,BTG2
BTG2,CCND1
CCND1,ID1
ID1,CCND1
CCND1,H2AFX
CCND1,PSME3
CCND1,CDKN1C
CCND1,PSMB2
CCND1,PSMF1
CCND1,TP53
TP53,CCND1
CCND1,TLE1
TLE1,CCND1
CCND1,IGF1
CCND1,TFDP1
TFDP1,CCND1
CCND1,PSMD9
PSMD9,CCND1
CCND1,USP2
CCND1,PSMD3
CCND1,CUL1
CCND1,HIST1H2BH
CCND1,CDH1
CCND1,PSMB10
CCND1,SMARCC1
SMARCC1,CCND1
CCND1,PSMA5
CCND1,EGF
EGF,CCND1
CCND1,POU5F1
POU5F1,CCND1
CCND1,CASP3
CCND1,CDK4
CCND1,HSPA8
CCND1,PCNA
CCND1,CDC25A
CCND1,SMARCD1
SMARCD1,CCND1
CCND1,E2F3
E2F3,CCND1
CCND1,SOX2
SOX2,CCND1
CCND1,XIAP
CCND1,PSMB8
CCND1,PSMA7
CCND1,LEF1
LEF1,CCND1
CCND1,CKS2
CCND1,DNMT3A
DNMT3A,CCND1
CCND1,CHEK2
CCND1,GAPDH
CCND1,ERBB2
CCND1,STAT3
STAT3,CCND1
CCND1,PSMC1
CCND1,CDK6
CCND1,PGR
PGR,CCND1
CCND1,AR
AR,CCND1
CCND1,EIF4E
CCND1,SNAI2
SNAI2,CCND1
CCND1,EZH2
EZH2,CCND1
CCND1,PRMT5
CCND1,RBPJ
RBPJ,CCND1
U2AF1,PRPF19
YBX1,PRPF19
POLR2G,PRPF19
SRSF3,PRPF19
RNPS1,PRPF19
HNRNPK,PRPF19
HNRNPD,PRPF19
POLR2D,PRPF19
GTF2H2,PRPF19
ALYREF,PRPF19
SF1,PRPF19
ILF2,PRPF19
ELAVL2,PRPF19
POLR2H,PRPF19
SNRPB,PRPF19
HNRNPAB,PRPF19
SRSF2,PRPF19
POLR2F,PRPF19
POLR2K,PRPF19
FUS,PRPF19
RBM14,PRPF19
SNRPD1,PRPF19
TCEA1,PRPF19
RBMX,PRPF19
SRSF6,PRPF19
SRSF1,PRPF19
POLR2A,PRPF19
PTMA,C11orf58
AR,SART3
SNRPD1,SART3
ILF2,LTA4H
DAB2,ARPC3
EGF,ARPC3
MCM6,RAD51AP1
MCM2,RAD51AP1
RAD51,RAD51AP1
CENPK,NUP107
SRSF3,NUP107
RNPS1,NUP107
ALYREF,NUP107
SNRPB,NUP107
SP100,NUP107
SRSF2,NUP107
ESPL1,NUP107
NPM1,NUP107
SNRPD1,NUP107
SRSF6,NUP107
SRSF1,NUP107
NANOG,GAPDH
SNAI1,GAPDH
CTNNB1,GAPDH
EEF1A1,GAPDH
TP53,GAPDH
EGF,GAPDH
POU5F1,GAPDH
TLR4,GAPDH
