BRD-K70792160,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12
BRD-A58767537,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1
BRD-K69247067,Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O
BRD-A56371469,Cc1nccn1CC(=O)N(C(C(=O)NC1CCCCC1)c1ccccc1C)c1cccc(F)c1
BRD-K04691817,FC(F)(F)c1cccc(NC(=O)Nc2cc(ccc2-c2ccsc2)S(=O)(=O)NC2CC2)c1
BRD-K32536677,Clc1ccc(Cl)c(c1)c2ccc(/C=C(\C#N)/C(=O)Nc3cccc4ncccc34)o2
BRD-K84698278,COc1ccc2cccc(CCNC(C)=O)c2c1
BRD-K91495480,CCCCCCCCCCCCCCCCCCCCCC(O)=O
BRD-A67373739,NC(=O)c1ncn(C2OC(COP(O)(O)=O)C(O)C2O)c1N
BRD-K04887706,O=c1[nH]c2ccccc2n1C3CCN(Cc4ccc(cc4)c5nc6cc7[nH]cnc7cc6nc5c8ccccc8)CC3
BRD-K96029467,Cc1sc[n+](CC(=O)c2ccccc2)c1C
BRD-A14966924,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1
BRD-K79131256,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
BRD-K11267252,CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N1CCC(CC1)N1CCOCC1
BRD-K75295174,COc1cc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2OC)ccc1C(O)=O
BRD-K30020243,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)ccc1OC
BRD-A03061970,COc1cc2[nH]nnc2cc1C(=O)NCC1CCCN1CC=C
BRD-K86307448,O=c1[nH]cnc2[nH]ncc12
BRD-K82677201,Fc1ccc(cc1)C(N1CCN(CC1)c1nc(NCC=C)nc(NCC=C)n1)c1ccc(F)cc1
BRD-K84810405,CNC(=O)[C@H](N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(cc1)C(F)(F)F)c1ccccc1
BRD-K54997624,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(c1)C(C)(C)C(F)(F)F
BRD-K73691377,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](O)CC(=O)[C@H]1CCCCCCC(O)=O
BRD-K00610438,Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1
BRD-K14619660,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(O)CC=C
BRD-K67043667,CN(C)c1nc(nc(n1)N(C)C)N(C)C
BRD-K23499943,CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(C)=C/C=C\[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
BRD-K07857022,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(O)=O)CC[C@@]1(C)c1cccc(O)c1
BRD-K87909389,CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl
BRD-K68191783,Cc1cn(cn1)-c1cc(cc(c1)C(F)(F)F)C(=O)Nc1ccc(C)c(NC(=O)c2ccno2)c1
BRD-K22096725,Cc1ccc(cc1Nc1cncc(c1)C(N)=O)C(=O)Nc1cccc(c1)C(F)(F)F
BRD-K53979406,CN(CC[C@@H](Oc1ccc(cc1)-c1ccccc1)c1ccc(F)cc1)CC(O)=O
BRD-K59013864,Oc1c(I)cc(I)cc1I
BRD-K70330367,NC12CC3CC(CC(C3)C1)C2
BRD-K41185545,COC([C@H](Oc1nc(C)cc(C)n1)C(O)=O)(c1ccccc1)c1ccccc1
BRD-K56558538,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1
BRD-A36010170,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1CC1C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C
BRD-K42948882,NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc12
BRD-A37288617,CCN(CC)C(C)C(=O)c1ccccc1
BRD-K32285926,COc1ccc2c(OCc3nnc4ccc(nn34)-c3ccccc3)ccnc2c1
BRD-K64925568,CC(C)[C@@H](CS(=O)(=O)C(C)C)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
BRD-K90239174,CCOc1ccc(cc1)-n1c(nc2ncccc2c1=O)[C@@H](C)N(Cc1cccnc1)C(=O)Cc1ccc(OC(F)(F)F)cc1
BRD-K34185671,CC(=O)Nc1nc2c(Oc3cc(ncn3)-c3ccc(cc3)C(F)(F)F)cccc2s1
BRD-K43802723,CC#C[C@@H](CC(O)=O)c1ccc(OCc2cccc(c2)-c2ccc(cc2)C(F)(F)F)cc1
BRD-A30051119,NCC[C@@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)C1O
BRD-K97181089,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N
BRD-K24219278,OC(=O)CCCCCCNC1c2ccccc2CCc2ccccc12
BRD-K64931368,NCCCCCC(O)=O
BRD-A25234499,CCC1(CCC(=O)NC1=O)c1ccc(N)cc1
BRD-K25114078,NNC(N)=N
BRD-K80267133,Nc1ccc(C(O)=O)c(O)c1
BRD-K17561142,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
BRD-K97643133,CN(C)CCCO[C@H]1[C@H](O[C@@H]2OC(C)(C)O[C@H]12)[C@H](O)CO
BRD-A68942014,Clc1ccc(cc1Cl)C12CC1CNC2
BRD-K53737926,CN(C)CCC=C1c2ccccc2CCc2ccccc12
BRD-K29530284,CC(C)c1ccc2oc3nc(N)c(cc3c(=O)c2c1)C(O)=O
BRD-A22032524,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
BRD-K15318383,C[C@]12CC[C@@](C)(C[C@H]1C1=CC(=O)[C@@H]3[C@]4(C)CC[C@H](O[C@H]5O[C@@H]([C@@H](O)[C@H](O)[C@@H]5O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O)C(O)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(O)=O
BRD-K91290917,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
BRD-K56334280,CN(C)CCN1C(=O)c2cccc3cc(N)cc(C1=O)c23
BRD-K02265150,Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1
BRD-K24771047,O=C(N1CCCCC1)c1ccc2nccnc2c1
BRD-K45924332,Nc1cc(c[nH]c1=O)-c1ccncc1
BRD-K68346641,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
BRD-K70924353,COc1ccccc1OC(=O)CNC(=O)Cc1ccc(C(=O)c2ccc(C)cc2)n1C
BRD-K66538826,S=C(NCc1ccc2OCOc2c1)N1CCN(CC1)c1ncnc2c3ccccc3oc12
BRD-K66989831,CCCCCCCCCCCCCCCc1cccc(O)c1C(O)=O
BRD-K44366189,COc1cc(F)c(cc1-c1ccc(cc1CN1[C@H](C)[C@H](OC1=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(C)C
BRD-K62200014,Clc1ccc2N=C3NC(=O)CN3Cc2c1Cl
BRD-K01174345,CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C1)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(C)N
BRD-K42352790,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO
BRD-K52172416,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N
BRD-K82164249,CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc(c(c2)C(F)(F)F)[N+]([O-])=O)cc1
BRD-A63236097,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@@H](C\C=C3/C(O)COC3=O)C(=C)CC[C@H]12
BRD-A53566267,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@]12C
BRD-A75305484,CCCCCOc1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)C(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C2CC(O)CN2C(=O)C(NC1=O)C(C)O)C(O)C(O)c1ccc(O)cc1)C(C)O
BRD-K88611939,COc1ccc(cc1)C(=O)N1CCCC1=O
BRD-A29623586,CN1C2C[C@H](O)[C@H]1C[C@H](C2)OC(=O)[C@H](CO)c1ccccc1
BRD-K56032964,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1)N1CCC(CC1)N(C)C
BRD-K20001883,COc1cc(OC)c2c(c1)[nH]c(nc2=O)-c1cc(C)c(OCCO)c(C)c1
BRD-K28115081,Cc1nnc2CN=C(c3cc(CCC(=O)N4CCOCC4)sc3-n12)c1ccccc1Cl
BRD-K10859802,CC(C)OC(=O)N1CCC(CC1)Oc1ncnc2n(ncc12)-c1ccc(cc1F)S(C)(=O)=O
BRD-K85140930,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H]1CC[C@H]1C[C@@H]3C[C@]21CC[C@]3(O)CO
BRD-K26325692,Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1
BRD-K67121414,COc1ccc(cc1)-n1nc(C(N)=O)c2CCN(C(=O)c12)c1ccc(cc1)N1CCCCC1=O
BRD-K64990520,COc1cc(ccc1O)C(C)=O
BRD-K93208532,CCOc1cc(ccc1OC)[C@@H](CS(C)(=O)=O)N1C(=O)c2cccc(NC(C)=O)c2C1=O
BRD-K65170927,C[C@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F
BRD-K67860401,COc1ccc(CNC(=O)Nc2ncc(s2)[N+]([O-])=O)cc1
BRD-K08037784,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
BRD-A10012892,C[C@@H]1CCN([C@@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)c1cccc2CC(C)CNc12
BRD-K62734952,CC1=CC[C@]23O[C@@]2(C)CC[C@@H]2[C@H](OC(=O)C2=C)[C@@H]13
BRD-K70358946,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
BRD-K87278688,NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1
BRD-K91308639,CNC(=O)c1ccc(cc1F)N1C(=S)N(C(=O)C11CCC1)c1cnc(C#N)c(c1)C(F)(F)F
BRD-K33852358,CCCn1c(=O)n(-c2ccc(Cl)cc2)c2[nH]cnc2c1=O
BRD-K73395020,CC(C)ON([C@H](C(C)C)C(=O)NO)S(=O)(=O)c1ccc(cc1)c2ccccc2
BRD-K46386702,C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1
BRD-K17944737,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(O)=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4
BRD-A60245366,N#CC(c1nc2ccccc2s1)c1ccnc(NCCc2cccnc2)n1
BRD-K41895714,O=C1NC(=O)\C(S1)=C/c1ccc2nccnc2c1
BRD-K89014967,OC[C@@H](O)CNC(=O)c1ccncc1Nc1ccc(I)cc1F
BRD-K27938825,Cc1ccc2c(oc3c(CC(O)=O)cccc3c2=O)c1C
BRD-K30331124,COc1ccc(cc1OC)\C=C\C(=O)CC(=O)\C=C\c1ccc(OC)c(OC)c1
BRD-K95260951,CN1C[C@H]2[C@H](C1)c1cc(Cl)ccc1Oc1ccccc21
BRD-K11433652,CC(=O)Oc1ccccc1C(O)=O
BRD-K26838195,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=O)C=C)cc34)cc2Cl)c1
BRD-K36269323,CN(C)C(=N)NCCC[C@H](N)C(O)=O
BRD-K58435339,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O
BRD-K13390322,Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCNCC1
BRD-K12040459,Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1
BRD-K24576554,O=C(NC1CC1)Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1
BRD-K94830329,OC(=O)c1cccc(c1)-c1noc(n1)-c1ccccc1F
BRD-A20239487,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
BRD-K39252998,CCC1(Cc2ccccc2C1)c1cnc[nH]1
BRD-K00521308,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(N)=O)C(N)=O
BRD-K20141153,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
BRD-K69726342,CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccccc1
BRD-A19795905,Clc1ccc(cc1)[C@H]1CC[C@@H](CC1)C1C(=O)C(=O)c2ccccc2C1=O
BRD-K17498618,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC
BRD-K16295392,CCCCN(CCCC)C(=O)CN1C[C@@H]([C@H]([C@@H]1c1ccc(OC)cc1)C(O)=O)c1ccc2OCOc2c1
BRD-K53561341,CCN1CCN(CC1)C(=O)Cc1ccc(Nc2ncc(F)c(Nc3ccc(cc3)C(=O)Nc3ccccc3Cl)n2)cc1
BRD-K23190681,CN1CCN(CC1)C(C)(C)C#Cc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C
BRD-K96615647,FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=O)N1CC[C@@H](C[C@H]1Cc1ccc(Cl)cc1)NC(=O)c1ccnc2ccccc12
BRD-K83720053,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(cc1F)-c1ncon1)S(=O)(=O)c1ccc(Cl)cc1
BRD-K65781196,COc1ccc(CNc2nc(ncc2C(=O)NCc2ncccn2)N2CCC[C@H]2CO)cc1Cl
BRD-K67901620,CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(cccc2C(C)C)C(C)C)c(c1)C(C)C
BRD-K87782578,COCCOc1ccc(Nc2ncc(F)c(Nc3cccc(NC(=O)C=C)c3)n2)cc1
BRD-K62196610,CC[C@H](CC#N)OC(=O)N[C@@H](C)c1cccc(NC(=O)Nc2ccc(-c3cnco3)c(OC)c2)c1
BRD-K42436189,C[C@@H]1COCCN1c1cc(nc(n1)-c1cccc2[nH]ccc12)C1(CC1)S(C)(=O)=O
BRD-K05804044,Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1
BRD-K55026842,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
BRD-K03406345,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
BRD-K32821942,Cn1cnc(c1Sc1[nH]cnc2ncnc12)[N+]([O-])=O
BRD-K21908111,N[C@@H]1CCCN(C1)c1c(cccc1-c1ccccc1)\C=C1/SC(=O)NC1=O
BRD-K65928735,C[C@H](Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1
BRD-A29009894,CC(Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1
BRD-K83186168,CC(=O)Nc1cccc2n(CC(O)=O)c(C)c(Sc3ccc(Cl)cc3)c12
BRD-K99113996,CNC(=O)c1cccc(c1)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C
BRD-K84996356,CC(=O)N1CCN(CCOc2ccc(cc2)C2CCN(CC2)C2=Nn3c(CC2)nnc3C(F)(F)F)CC1
BRD-K28392481,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1
BRD-K99023089,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@@H](CCO)c1ccc(Cl)cc1
BRD-K72414522,CC(C)n1c(C)ncc1-c1ccnc(Nc2ccc(cc2)S(C)(=O)=O)n1
BRD-K58772419,C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1
BRD-A87435144,CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)C(C)(O)C(F)(F)F)c(Cl)c1
BRD-K31495718,Cc1nc(C)c(nc1C(N)=O)-c1ccc(cc1)[C@H]1CC[C@H](CC(O)=O)CC1
BRD-U86686840,C1C[C@H](CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N
BRD-K46056750,NC(=O)Nc1cc(sc1C(=O)N[C@@H]1CCCNC1)-c1cccc(F)c1
BRD-K86525559,NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)-c1cccc(F)c1
BRD-K69932463,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C
BRD-K37687095,Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)n(C)c1=O
BRD-K98572433,CNC(=O)CN1CCC(CC1)Oc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC
BRD-K31476763,Cc1c(cc(C(=O)NCc2ccc(cn2)S(C)(=O)=O)c(=O)n1-c1cccc(c1)C(F)(F)F)-c1ccnn1C
BRD-K08976401,OC(=O)CCCCCCCC(O)=O
BRD-A68888262,CN1CCCC(CC1)n1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O
BRD-K73794685,CC[C@H]1OC(=O)[C@@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
BRD-K98733875,O[C@H]1[C@@H](Oc2cc3oc(cc(=O)c3c(O)c2O)-c2ccccc2)O[C@H]([C@@H](O)[C@@H]1O)C(O)=O
BRD-A00147595,Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O
BRD-K47976015,CC(C)C(=O)OC[C@]1(O[C@H]([C@H](OC(=O)C(C)C)[C@@H]1OC(=O)C(C)C)n1ccc(N)nc1=O)N=[N+]=[N-]
BRD-K27204852,CCCN1CCN(CC1)c1ccc(cc1)C(=O)NC1(CCCCC1)C(=O)NCC#N
BRD-K41410256,OC(=O)CCNC(=O)c1ccc(cc1)N=Nc1ccc(O)c(c1)C(O)=O
BRD-A17462676,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(c1)C(O)CNC(C)(C)C
BRD-K31928526,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(O)(O)=O
BRD-K63923597,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1
BRD-K22848513,COC(=O)[C@]12CCC(C)(C)C[C@@H]1[C@@H]1C(=O)C=C3[C@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
BRD-K53581288,CCS(=O)(=O)N1CC(CC#N)(C1)n1cc(cn1)-c1ncnc2[nH]ccc12
BRD-K62387885,Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(F)cc1
BRD-K25361343,CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](CC(C)C)[C@H](CSc1cccs1)C(=O)NO
BRD-K79595931,O=C(N1CCN(CC1)C1CC1)c1ccc(CN2CCOCC2)cc1
BRD-K70463136,Cc1cc(nn1Cc1ccnc(c1)N1CCN(CC1)C1CC1)-c1nc(no1)-c1ccc(OC(F)(F)F)cc1
BRD-A05457250,COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1C(F)(F)F)[N+]([O-])=O
BRD-K90195324,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12
BRD-K23672206,Cc1oc2nc3CCCCc3c(NC(=O)CN3CCCC3=O)c2c1C
BRD-A11319535,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC12C
BRD-K17743125,ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1
BRD-K14993104,CCC1(C)CC(=O)NC(=O)C1
BRD-K49807096,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(O)=O)C1=O
BRD-K17068645,Cn1c(CCCC(O)=O)nc2cc(ccc12)N(CCCl)CCCl
BRD-A80017228,NS(=O)(=O)c1cc2c(NC(Cc3ccccc3)NS2(=O)=O)cc1C(F)(F)F
BRD-A22305049,CC(Cc1cccc(c1)C(F)(F)F)NCCOC(=O)c1ccccc1
BRD-K97688263,N\C(NCc1ccccc1)=N/C(=O)c1nc(Cl)c(N)nc1N
BRD-K11717138,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
BRD-A87983072,OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1ccc(Cl)cc1
BRD-K21450440,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O
BRD-K28542495,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
BRD-K55191674,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O
BRD-K98624455,OC(=O)CCCN1CCC(CC1)O[C@@H](c1ccc(Cl)cc1)c1ccccn1
