Gene1,Gene2
CTBP2,ID1
CTBP2,CPPED1
CTBP2,ENC1
CTBP2,NDST3
CTBP2,VEZT
CTBP2,NMNAT1
CTBP2,FGD6
CTBP2,RRBP1
CTBP2,PABPC4
CTBP2,GTF2H2
CTBP2,BIVM
CTBP2,FAM126B
CTBP2,NOLC1
CTBP2,PHF21A
CTBP2,CR2
CTBP2,MAP3K3
CTBP2,RNF144B
CTBP2,KIFC3
CTBP2,STAT3
CTBP2,PLS1
CTBP2,DUSP4
CTBP2,SEC11C
CTBP2,CPE
CTBP2,WDR55
CTBP2,GNL3
CTBP2,CAP2
CTBP2,MSRB3
CTBP2,JAKMIP2
CTBP2,CA13
CTBP2,PLCH1
CTBP2,GNAL
CTBP2,SCN9A
CTBP2,MME
CTBP2,ASTN1
CTBP2,KLHDC7A
CTBP2,CCDC90B
CTBP2,ACAP1
CTBP2,MRPL39
CTBP2,DGKI
CTBP2,TMEM38B
CTBP2,DUT
CTBP2,TIPARP
CTBP2,MECOM
CTBP2,LIG4
CTBP2,GNG3
CTBP2,MCM6
CTBP2,TNFSF11
CTBP2,EHD3
CTBP2,GRIA4
CTBP2,TEAD1
CTBP2,HOMER1
CTBP2,FRY
CTBP2,CDC7
CTBP2,SECISBP2L
CTBP2,ADAMTS3
CTBP2,PAH
CTBP2,TBC1D9
CTBP2,SNX14
CTBP2,DLGAP1
CTBP2,BACE1
CTBP2,UBOX5
CTBP2,TRIAP1
CTBP2,SPATA9
CTBP2,RHOBTB3
CTBP2,PPM1H
CTBP2,ZNF764
CTBP2,RNF19A
CTBP2,POLDIP3
CTBP2,ARPC2
CTBP2,VPS13C
CTBP2,DDX18
CTBP2,COL13A1
CTBP2,KAT6A
CTBP2,HNRNPD
CTBP2,PKN2
CTBP2,FSTL1
CTBP2,TMEM181
CTBP2,PLXDC2
CTBP2,ZNF365
CTBP2,RBM47
CTBP2,PLSCR1
CTBP2,LMO3
CTBP2,KLHL3
CTBP2,ARF3
CTBP2,AMFR
CTBP2,USP44
CTBP2,TSKU
CTBP2,SGK1
CTBP2,SLC39A11
CTBP2,ITGA4
CTBP2,IFI27L2
CTBP2,ANKS1B
CTBP2,WDR31
CTBP2,RPL37
CTBP2,MRPL17
CTBP2,FAAH
CTBP2,ZNF829
CTBP2,WWTR1
CTBP2,TMEM26
CTBP2,PRUNE2
CTBP2,PDE11A
CTBP2,HPSE
CTBP2,ISPD
CTBP2,STOX2
CTBP2,RRM1
CTBP2,SH3GL2
CTBP2,SCG3
CTBP2,NRG2
CTBP2,NFIA
CTBP2,PTN
CTBP2,PPP1R18
CTBP2,MRPL16
CTBP2,ESPL1
CTBP2,CHRM3
CTBP2,CA2
CTBP2,VWDE
CTBP2,TES
CTBP2,ROR1
CTBP2,MIPEP
CTBP2,ITGAV
CTBP2,GCNT2
CTBP2,EDEM3
CTBP2,CCNC
CTBP2,C4orf46
CTBP2,SH3BP5
CTBP2,ARSJ
CTBP2,ZCCHC4
CTBP2,PKIA
CTBP2,NFAT5
CTBP2,IGDCC3
CTBP2,ANTXR2
CTBP2,TRIM45
CTBP2,TEX10
CTBP2,SP8
CTBP2,MITF
CTBP2,MAP2
CTBP2,BEND3
CTBP2,ANKRD34C
CTBP2,ZC3H6
CTBP2,HMGB1
CTBP2,DCBLD2
CTBP2,TMEM144
CTBP2,GXYLT1
CTBP2,CHD9
CTBP2,CHST11
CTBP2,NCAM1
CTBP2,LYST
CTBP2,CALB1
CTBP2,TAC1
CTBP2,SLC35A3
CTBP2,PTK7
CTBP2,MRPL21
CTBP2,KARS
CTBP2,AZIN1
CTBP2,RABGAP1L
CTBP2,MEX3A
CTBP2,ELOVL6
CTBP2,CSMD2
CTBP2,TEP1
CTBP2,NOC4L
CTBP2,NGDN
CTBP2,ILK
CTBP2,DPYSL3
CTBP2,DDX51
CTBP2,SNTB1
CTBP2,SATB1
CTBP2,LHX6
CTBP2,KIAA1324L
CTBP2,CASP8
CTBP2,VIM
CTBP2,STT3B
CTBP2,NIPAL1
CTBP2,LIPG
CTBP2,C1orf115
CTBP2,APOL2
CTBP2,UBFD1
CTBP2,PARP6
CTBP2,NKX3-1
CTBP2,NELL2
CTBP2,MRPL13
CTBP2,H2AFY2
CTBP2,GDAP1
CTBP2,FLI1
CTBP2,EARS2
CTBP2,SNRPN
CTBP2,SLC35F3
CTBP2,MAGI3
CTBP2,BAZ2A
CTBP2,ARPC3
CTBP2,ARMC4
CTBP2,ARHGEF5
CTBP2,PPM1K
CTBP2,MAPRE2
CTBP2,ARNT2
CTBP2,ZNF521
CTBP2,TMEM39A
CTBP2,SVIP
CTBP2,NAT10
CTBP2,FAM161B
CTBP2,EIF4E3
CTBP2,CPSF3
CTBP2,ABCE1
CTBP2,PPFIBP1
CTBP2,LNP1
CTBP2,ESYT2
CTBP2,DYNC1I1
CTBP2,C18orf21
CTBP2,APC
CTBP2,TWIST1
CTBP2,TRPM3
CTBP2,NRCAM
CTBP2,GALC
CTBP2,FBXO34
CTBP2,DCHS1
CTBP2,CREB3L2
CTBP2,RAD51AP1
CTBP2,KCTD14
CTBP2,FAM111A
CTBP2,DHRS3
CTBP2,BCAR3
CTBP2,PCNA
CTBP2,KCNG1
CTBP2,E2F7
CTBP2,ALCAM
CTBP2,AFF3
CTBP2,TRPA1
CTBP2,PELI2
CTBP2,ACOXL
CTBP2,SEPT11
CTBP2,PGAP1
CTBP2,CNTNAP5
CTBP2,GAR1
CTBP2,AP1S2
CTBP2,STOML2
CTBP2,SREK1IP1
CTBP2,SAAL1
CTBP2,PRCP
CTBP2,PLEKHM3
CTBP2,OXTR
CTBP2,ITPR1
CTBP2,GPHN
CTBP2,EXOSC3
CTBP2,DAB1
CTBP2,CWC27
CTBP2,ASXL1
CTBP2,SIGMAR1
CTBP2,MRPS18C
CTBP2,GRIN2A
CTBP2,DLC1
CTBP2,CYYR1
CTBP2,TPRKB
CTBP2,TMEM141
CTBP2,TIPIN
CTBP2,SEL1L3
CTBP2,ORC4
CTBP2,MEIS2
CTBP2,LPP
CTBP2,ACBD6
CTBP2,TWISTNB
CTBP2,STRA6
CTBP2,RIPPLY2
CTBP2,PRR16
CTBP2,PPIC
CTBP2,PDLIM3
CTBP2,OTX2
CTBP2,GCNT1
CTBP2,C1orf61
CTBP2,TDRD7
CTBP2,MCM3
CTBP2,FABP6
CTBP2,CCNG2
CTBP2,PURA
CTBP2,PLA2G16
CTBP2,PDE4D
CTBP2,NIF3L1
CTBP2,LRR1
CTBP2,DISC1
CTBP2,C11orf1
CTBP2,AIG1
CTBP2,SOX5
CTBP2,SH2D4A
CTBP2,SEMA6A
CTBP2,MMP16
CTBP2,HHLA3
CTBP2,FEZ1
CTBP2,DPY19L1
CTBP2,DNAJC11
CTBP2,ANKRD13C
CTBP2,TIMP4
CTBP2,STX11
CTBP2,SAMHD1
CTBP2,RHBDL3
CTBP2,RFXANK
CTBP2,SLC36A1
CTBP2,CHGB
CTBP2,CAMK1D
CTBP2,ARHGAP31
CTBP2,TMOD1
CTBP2,SPTSSB
CTBP2,LARP1
CTBP2,GSTO2
CTBP2,DTL
CTBP2,CISD2
CTBP2,BTF3
CTBP2,ARL4A
CTBP2,VANGL2
CTBP2,U2AF1
CTBP2,TSPAN12
CTBP2,SENP7
CTBP2,PREPL
CTBP2,FMO5
CTBP2,CAMKMT
CTBP2,SPRYD7
CTBP2,POLE4
CTBP2,MAN1A1
CTBP2,FGF17
CTBP2,AP5B1
CTBP2,UPK1B
CTBP2,THEM4
CTBP2,SYT1
CTBP2,LDHA
CTBP2,ITM2A
CTBP2,SOX17
CTBP2,PITX2
CTBP2,NHLRC1
CTBP2,METTL1
CTBP2,GOT2
CTBP2,DCAF5
CTBP2,CDCA7
CTBP2,ARHGAP24
CTBP2,ZFP62
CTBP2,TMC5
CTBP2,SDCBP
CTBP2,MMP14
CTBP2,KLHL12
CTBP2,KATNAL1
CTBP2,HTR3A
CTBP2,CCPG1
CTBP2,BRIX1
CTBP2,ANKRD18A
CTBP2,TSFM
CTBP2,TNFRSF21
CTBP2,NUP107
CTBP2,DOK4
CTBP2,TOX3
CTBP2,TLR5
CTBP2,STEAP1B
CTBP2,SNAI2
CTBP2,RPP40
CTBP2,MCM10
CTBP2,FREM2
CTBP2,FAM162A
CTBP2,CCDC58
CTBP2,CAMK2D
CTBP2,ZNF282
CTBP2,THSD7A
CTBP2,PYROXD2
CTBP2,PTPRE
CTBP2,PLAU
CTBP2,NXNL2
CTBP2,NECAP2
CTBP2,C1RL
CTBP2,ANKRD36B
CTBP2,ADAM23
CTBP2,SYNCRIP
CTBP2,SRSF2
CTBP2,SIPA1L3
CTBP2,PLA2G3
CTBP2,PIKFYVE
CTBP2,PDE3B
CTBP2,NUP54
CTBP2,MAP7
CTBP2,IL6ST
CTBP2,HSPE1
CTBP2,HSPD1
CTBP2,CADPS2
CTBP2,RAB32
CTBP2,NOX4
CTBP2,NOC3L
CTBP2,MCF2L2
CTBP2,ABRACL
CTBP2,SRGAP1
CTBP2,SLC39A8
CTBP2,MARVELD2
CTBP2,HPS5
CTBP2,GRM4
CTBP2,ERLEC1
CTBP2,C5orf63
CTBP2,TRIM2
CTBP2,SLC44A1
CTBP2,SH3BGRL2
CTBP2,SCO1
CTBP2,RASSF8
CTBP2,PRSS35
CTBP2,FBXO27
CTBP2,AGL
CTBP2,ZNF142
CTBP2,ULK2
CTBP2,OCLN
CTBP2,MYOCD
CTBP2,HECW2
CTBP2,FRZB
CTBP2,CRIP3
CTBP2,CPVL
CTBP2,ANXA5
CTBP2,TCF4
CTBP2,SMYD2
CTBP2,RSPO3
CTBP2,PDE3A
CTBP2,NCOA6
CTBP2,GABRA5
CTBP2,FAM83D
CTBP2,CXCL6
CTBP2,CSRNP1
CTBP2,C3orf70
CTBP2,RPS6
CTBP2,PTGIS
CTBP2,OPTN
CTBP2,NEGR1
CTBP2,NAA50
CTBP2,CTTNBP2
CTBP2,CCDC8
CTBP2,CCDC3
CTBP2,YWHAZ
CTBP2,TNFRSF11B
CTBP2,RASSF6
CTBP2,PGM2
CTBP2,NDUFA12
CTBP2,MAK16
CTBP2,FNDC3B
CTBP2,ELMOD2
CTBP2,ZC3H15
CTBP2,PPP2R1B
CTBP2,PLXNA2
CTBP2,PARD6B
CTBP2,OSBPL10
CTBP2,NIPSNAP3A
CTBP2,NAAA
CTBP2,HRASLS5
CTBP2,CPEB2
CTBP2,COBLL1
CTBP2,ZNF165
CTBP2,TEX14
CTBP2,TARS
CTBP2,SNAPC3
CTBP2,NMRAL1
CTBP2,MAGOH
CTBP2,LRRC7
CTBP2,HSP90AB1
CTBP2,CCDC144A
CTBP2,TNFRSF9
CTBP2,TGFB1I1
CTBP2,TAOK3
CTBP2,RAI14
CTBP2,OCIAD2
CTBP2,FAM169A
CTBP2,COL5A1
CTBP2,ZNF527
CTBP2,RFC3
CTBP2,PDZRN4
CTBP2,NTN4
CTBP2,KIF15
CTBP2,KCTD1
CTBP2,GRB14
CTBP2,GABRB2
CTBP2,DTX4
CTBP2,CYP1B1
CTBP2,BRWD1
CTBP2,TTC27
CTBP2,TRIM56
CTBP2,TATDN1
CTBP2,STK33
CTBP2,LRRC49
CTBP2,DNAJC9
CTBP2,CRELD1
CTBP2,ANKRD18B
CTBP2,UGGT1
CTBP2,SETD7
CTBP2,RAVER2
CTBP2,BLOC1S2
CTBP2,ZFP14
CTBP2,VSNL1
CTBP2,THAP9
CTBP2,TADA1
CTBP2,SEC31A
CTBP2,REL
CTBP2,RBM24
CTBP2,PHACTR2
CTBP2,PAM
CTBP2,OSBPL6
CTBP2,MDM4
CTBP2,MAML3
CTBP2,GUCY1A2
CTBP2,GPR160
CTBP2,FOXN3
CTBP2,EBNA1BP2
CTBP2,ATP11B
CTBP2,WDFY2
CTBP2,TMSB15B
CTBP2,TMEM192
CTBP2,SPRY1
CTBP2,KIF2C
CTBP2,GADD45A
CTBP2,DEPDC1B
CTBP2,CHRNB2
CTBP2,ARID5B
CTNNB1,MTRNR2L2
CTNNB1,MTRNR2L8
CTNNB1,RGPD2
CTNNB1,CER1
CTNNB1,MCC
CTNNB1,AK4
CTNNB1,KIFC3
CTNNB1,MTRNR2L10
CTNNB1,IGDCC3
CTNNB1,TLE3
CTNNB1,SPAG9
CTNNB1,AKIRIN1
CTNNB1,RGMB
CTNNB1,DKK1
CTNNB1,ZSCAN10
CTNNB1,TACC2
CTNNB1,CDC14B
CTNNB1,RAPH1
CTNNB1,TSPEAR
CTNNB1,CXXC1
CTNNB1,C1QTNF6
CTNNB1,ALPL
CTNNB1,SFRP2
CTNNB1,CCDC92
CTNNB1,PRICKLE1
CTNNB1,DCLK1
CTNNB1,ETV4
CTNNB1,CCDC151
CTNNB1,NKD1
CTNNB1,OTX2
CTNNB1,DKK4
CTNNB1,NEDD9
CTNNB1,TCHP
CTNNB1,MPZL2
CTNNB1,PLEKHA5
CTNNB1,VENTX
CTNNB1,ZSWIM6
CTNNB1,TNC
CTNNB1,FBP1
CTNNB1,ODF2
CTNNB1,TNFRSF19
CTNNB1,OLFM2
CTNNB1,NIN
CTNNB1,DUSP4
CTNNB1,SLC7A5
CTNNB1,ANP32B
CTNNB1,PSKH2
CTNNB1,PTBP1
CTNNB1,SYT1
CTNNB1,WLS
CTNNB1,EIF4G2
CTNNB1,GSTO1
CTNNB1,HAS3
CTNNB1,MSH2
CTNNB1,SP8
CTNNB1,LPAR6
CTNNB1,CPSF6
CTNNB1,TRPM3
CTNNB1,DNMBP
CTNNB1,CYP1B1
CTNNB1,IL15RA
CTNNB1,HESX1
CTNNB1,ADAMTSL2
CTNNB1,OCLN
CTNNB1,CRYM
CTNNB1,PDE4D
CTNNB1,PRDX1
CTNNB1,CTBS
CTNNB1,BMPR2
CTNNB1,NLGN1
CTNNB1,EGFLAM
CTNNB1,ERBB2
CTNNB1,TRPM1
CTNNB1,DPPA4
CTNNB1,ARID5A
CTNNB1,UNC5D
CTNNB1,MACC1
CTNNB1,NRG1
CTNNB1,FAM169A
CTNNB1,PMEPA1
CTNNB1,RIMBP2
CTNNB1,ASXL1
CTNNB1,VOPP1
CTNNB1,FGFRL1
CTNNB1,STRA6
CTNNB1,ETV1
CTNNB1,SNRPN
CTNNB1,MAP1B
CTNNB1,PODXL
CTNNB1,LIX1
CTNNB1,PPP2R1B
CTNNB1,STOX2
CTNNB1,DBNDD1
CTNNB1,DHRS3
CTNNB1,VWA1
CTNNB1,ZNF202
CTNNB1,ITGB1
CTNNB1,PAPPA
CTNNB1,NUP54
CTNNB1,DENR
CTNNB1,TIMP4
CTNNB1,USP44
CTNNB1,RXRG
CTNNB1,RPL10A
CTNNB1,ENC1
CTNNB1,ARHGAP24
CTNNB1,PHLDB2
CTNNB1,RGS5
CTNNB1,ETV3
CTNNB1,GCNT2
CTNNB1,PSMA6
CTNNB1,UBL7
CTNNB1,COL13A1
CTNNB1,SMAD2
CTNNB1,PDPN
CTNNB1,KLHL4
CTNNB1,RAP1GDS1
CTNNB1,ARF3
CTNNB1,PRDM14
CTNNB1,TCL1B
CTNNB1,MGST1
CTNNB1,SS18L2
CTNNB1,CRABP2
CTNNB1,KLHDC7A
CTNNB1,LMAN1
CTNNB1,VPS13C
CTNNB1,RAB12
CTNNB1,RABGAP1L
CTNNB1,MMP2
CTNNB1,HELLS
CTNNB1,FAM153B
CTNNB1,WWTR1
CTNNB1,BTBD10
CTNNB1,COL4A2
CTNNB1,COL4A1
CTNNB1,PAM
CTNNB1,COL14A1
CTNNB1,TEX14
CTNNB1,PTK7
CTNNB1,PGRMC1
CTNNB1,PRIM2
CTNNB1,NCAM1
CTNNB1,RBPJ
CTNNB1,SVEP1
CTNNB1,LPIN1
CTNNB1,LIN28A
CTNNB1,RBP1
CTNNB1,MCF2L2
CTNNB1,CACNG8
CTNNB1,TNFRSF11B
CTNNB1,GPR83
CTNNB1,GREB1
CTNNB1,PLEKHG3
CTNNB1,CD200
CTNNB1,AHSP
CTNNB1,CYP26A1
CTNNB1,CDH2
CTNNB1,BAMBI
CTNNB1,SF3A3
CTNNB1,CHD9
CTNNB1,FBLN1
CTNNB1,AKR1D1
CTNNB1,NAV2
CTNNB1,LRRTM4
CTNNB1,SSBP1
CTNNB1,SPATA9
CTNNB1,SHROOM3
CTNNB1,RHOBTB3
CTNNB1,C2CD4A
CTNNB1,RASSF10
CTNNB1,KLHL5
CTNNB1,ARHGAP31
CTNNB1,NME1
CTNNB1,ARHGAP23
CTNNB1,PMAIP1
CTNNB1,YWHAQ
CTNNB1,ARSJ
CTNNB1,FKBP14
CTNNB1,MFAP2
CTNNB1,MFGE8
CTNNB1,LHX6
CTNNB1,SLC7A11
CTNNB1,APOLD1
CTNNB1,TMEM37
CTNNB1,PBX1
CTNNB1,PALLD
CTNNB1,PAG1
CTNNB1,GNAL
CTNNB1,DPYSL2
CTNNB1,PRDM1
CTNNB1,RPS7
CTNNB1,GRB14
CTNNB1,ZNF611
CTNNB1,PLAGL1
CTNNB1,CENPK
CTNNB1,PLEKHA6
CTNNB1,PITX2
CTNNB1,TET2
CTNNB1,RBM47
CTNNB1,CASP8
CTNNB1,FBXO28
CTNNB1,FOXN3
CTNNB1,ADD2
CTNNB1,TFAM
CTNNB1,PNPLA1
CTNNB1,SAMD3
CTNNB1,UTP14A
CTNNB1,SYNJ2
CTNNB1,HOMER1
CTNNB1,EPHA2
CTNNB1,TSPAN14
CTNNB1,POLDIP3
CTNNB1,SLC29A1
CTNNB1,EPCAM
CTNNB1,C4orf19
CTNNB1,TCF4
CTNNB1,MATN3
CTNNB1,FOXP1
CTNNB1,PTPRB
CTNNB1,HCN1
CTNNB1,OLFML3
CTNNB1,TTC23
CTNNB1,TSPAN13
CTNNB1,LRRC28
CTNNB1,DCAF6
CTNNB1,VWDE
CTNNB1,SLC3A2
CTNNB1,SH3BGRL2
CTNNB1,ZNF142
CTNNB1,RASL12
CTNNB1,PICALM
CTNNB1,RNF213
CTNNB1,ARMC6
CTNNB1,RAB3IP
CTNNB1,ANXA3
CTNNB1,SLX4
CTNNB1,SEMA3E
CTNNB1,PPP1R1B
CTNNB1,POU2F1
CTNNB1,XRCC2
CTNNB1,TBC1D14
CTNNB1,MRPL1
CTNNB1,HINT3
CTNNB1,CCDC86
CTNNB1,TTC27
CTNNB1,NOLC1
CTNNB1,TOX3
CTNNB1,SLCO1A2
CTNNB1,E2F7
CTNNB1,BRIX1
CTNNB1,MAGED2
CTNNB1,MT1X
CTNNB1,ZYG11A
CTNNB1,PBLD
CTNNB1,MRPS18C
CTNNB1,LIG3
CTNNB1,ECHDC1
CTNNB1,CSNK1A1
CTNNB1,FGD4
CTNNB1,NCAPG
CTNNB1,HMGA1
CTNNB1,NOP14
CTNNB1,ACPP
CTNNB1,ROR1
CTNNB1,TRIM38
CTNNB1,NREP
CTNNB1,KCNQ3
CTNNB1,CHST4
CTNNB1,XPO1
CTNNB1,PHB2
CTNNB1,LSM3
CTNNB1,EMG1
CTNNB1,SKA3
CTNNB1,ABCA1
CTNNB1,TTC4
CTNNB1,SLC16A5
CTNNB1,AURKAIP1
CTNNB1,SNAI2
CTNNB1,GATA4
CTNNB1,NEDD4L
CTNNB1,ASNS
CTNNB1,NAT10
CTNNB1,IGSF1
CTNNB1,AKAP1
CTNNB1,SET
CTNNB1,TMEM205
CTNNB1,SUMF2
CTNNB1,SNRPB
CTNNB1,CHRM3
CTNNB1,MIA3
CTNNB1,CNTN1
CTNNB1,MEST
CTNNB1,ARSD
CTNNB1,RASSF8
CTNNB1,NSMCE4A
CTNNB1,MICU1
DNMT3B,MTRNR2L2
DNMT3B,MTRNR2L8
DNMT3B,CBX3
DNMT3B,SEPT7
DNMT3B,ZNF668
DNMT3B,ARHGAP39
DNMT3B,AP5B1
DNMT3B,MAFG
DNMT3B,GPR78
DNMT3B,OXTR
DNMT3B,ASMT
DNMT3B,CAMKK2
DNMT3B,FGFRL1
DNMT3B,ALDH18A1
DNMT3B,CALHM1
DNMT3B,PRKAR1B
DNMT3B,ADCY5
EGR1,NME1
EGR1,SLC36A1
EGR1,LNP1
EGR1,NUP188
EGR1,WDHD1
EGR1,SPAG9
EGR1,LRRC27
EGR1,UCHL3
EGR1,PGD
EGR1,SIRT1
EGR1,ZFP14
EGR1,PHF14
EGR1,ORC4
EGR1,PTP4A1
EGR1,MTRNR2L2
EGR1,KIAA0319L
EGR1,TMEM131
EGR1,DSTYK
EGR1,KDELR3
EGR1,POLR1C
EGR1,SSBP1
EGR1,ZFC3H1
EGR1,SMPD1
EGR1,ZNF764
EGR1,AFF4
EGR1,MGST3
EGR1,CSAD
EGR1,PIGX
EGR1,CEP19
EGR1,MTRNR2L8
EGR1,CKS2
EGR1,IMPAD1
EGR1,TRIM37
EGR1,C6orf89
EGR1,LSM3
EGR1,ZFAND4
EGR1,DIDO1
EGR1,RASGEF1B
EGR1,CCDC151
EGR1,ESPL1
EGR1,TMEM87B
EGR1,PRDX1
EGR1,CPPED1
EGR1,MAK16
EGR1,ARPC4
EGR1,MRPL50
EGR1,KEAP1
EGR1,ANKMY2
EGR1,RNF19A
EGR1,DHX35
EGR1,SNX18
EGR1,ZSWIM6
EGR1,ASXL1
EGR1,PGM2
EGR1,FAM118A
EGR1,DUSP23
EGR1,GXYLT1
EGR1,PLEKHA4
EGR1,IFT20
EGR1,NMRAL1
EGR1,MALSU1
EGR1,DNAJB1
EGR1,NME6
EGR1,DPY19L1
EGR1,UBL3
EGR1,MSMO1
EGR1,SYNJ1
EGR1,POLR3G
EGR1,SEH1L
EGR1,SURF2
EGR1,USP9X
EGR1,SSX2IP
EGR1,TRIM62
EGR1,SKIL
EGR1,INTS1
EGR1,MRPL40
EGR1,WDR55
EGR1,TNFAIP8L1
EGR1,DNAJC11
EGR1,NTHL1
EGR1,C15orf39
EGR1,CCDC114
EGR1,CHRAC1
EGR1,ANKZF1
EGR1,MIPEP
EGR1,ANKRD26
EGR1,TMED4
EGR1,MRPS23
EGR1,GGCT
EGR1,CXXC1
EGR1,DSE
EGR1,IGSF11
EGR1,NEDD4L
EGR1,ZNF816-ZNF321P
EGR1,CSNK1G1
EGR1,TDRD7
EGR1,CSNK1A1
EGR1,NUMB
EGR1,PHF5A
EGR1,ODF2L
EGR1,DCAF10
EGR1,NOL7
EGR1,CHIC2
EGR1,RRM1
EGR1,KLF8
EGR1,H6PD
EGR1,ABHD14A
EGR1,MED14
EGR1,VPS13C
EGR1,SLX4
EGR1,URB2
EGR1,TMEM181
EGR1,NUP35
EGR1,NAGA
EGR1,MRPS2
EGR1,TMEM56
EGR1,POLA1
EGR1,PTPRE
EGR1,HNRNPC
EGR1,NFXL1
EGR1,SH3YL1
EGR1,ACP1
EGR1,B4GALT4
EGR1,TBRG4
EGR1,CCDC82
EGR1,FTSJ3
EGR1,WDR43
EGR1,GPR37
EGR1,NOG
EGR1,FOXJ1
EGR1,ADAM17
EGR1,PRELID2
EGR1,RGPD5
EGR1,SNRPD3
EGR1,CDS1
EGR1,MRPL15
EGR1,TIMM21
EGR1,AARS2
EGR1,EARS2
EGR1,STOML2
EGR1,AMD1
EGR1,ATG4C
EGR1,ARHGAP42
EGR1,ZCCHC4
EGR1,ACAD8
EGR1,ARHGAP39
EGR1,SCAF11
EGR1,SPATA9
EGR1,RHOBTB3
EGR1,ARFGAP3
EGR1,HP1BP3
EGR1,CHD9
EGR1,OPA3
EGR1,GLIPR1L1
EGR1,HOMER1
EGR1,NECAB2
EGR1,WDFY2
EGR1,PTK2
EGR1,ZNF70
EGR1,GART
EGR1,PDIA4
EGR1,JMJD1C
EGR1,RGPD2
EGR1,RBPJ
EGR1,ADAMTSL5
EGR1,EBNA1BP2
EGR1,AGTRAP
EGR1,UBA2
EGR1,SCN11A
EGR1,SNTG2
EGR1,SCN3B
EGR1,ELAC2
EGR1,CYP20A1
EGR1,CCDC92
EGR1,CACYBP
EGR1,NDUFC2-KCTD14
EGR1,DNAJA2
EGR1,TRAPPC8
EGR1,CUX1
EGR1,RMI1
EGR1,GRB2
EGR1,PDCD2L
EGR1,ECSIT
EGR1,DCDC1
EGR1,TXNDC15
EGR1,POLR2M
EGR1,ATIC
EGR1,ALAD
EGR1,PARP6
EGR1,LURAP1
EGR1,GALNT11
EGR1,BAZ2A
EGR1,MAP2
EGR1,TGFBR1
EGR1,PIP5KL1
EGR1,NIF3L1
EGR1,WSB2
EGR1,ETV3
EGR1,SLC27A1
EGR1,SLC16A10
EGR1,ARPC3
EGR1,HIF1A
EGR1,ZNF207
EGR1,XRCC2
EGR1,ZNF8
EGR1,LIG3
EGR1,COX10
EGR1,STARD9
EGR1,DUS4L
EGR1,RAPH1
EGR1,CNTNAP2
EGR1,RNFT2
EGR1,RNF216
EGR1,RAD50
EGR1,FOXN2
EGR1,TFE3
EGR1,LRRC47
EGR1,ZNF280B
EGR1,RFESD
EGR1,PLD6
EGR1,KIAA1324L
EGR1,SECISBP2L
EGR1,SRGAP1
EGR1,TMEM53
EGR1,SLC36A4
EGR1,RBFA
EGR1,PPA1
EGR1,DNAJC15
EGR1,DTNB
EGR1,PROS1
EGR1,ZYG11B
EGR1,PPIL6
EGR1,FAM92B
EGR1,KIAA1841
EGR1,TMEM135
EGR1,ZFP30
EGR1,PPP2R1B
EGR1,TNFSF11
EGR1,EIF5A2
EGR1,TUBB6
EGR1,SYN3
EGR1,KIF16B
EGR1,UBE2V2
EGR1,POU2F1
EGR1,TNFRSF12A
EGR1,RAP2A
EGR1,CASP3
EGR1,UGGT1
EGR1,PUS7
EGR1,TMEM17
EGR1,REV3L
EGR1,C18orf21
